Prefix,Count,Manufacturer,Website,Confidence,Notes
GLBC,2,Global Casegoods,https://www.globalfurnituregroup.com/,likely,Verify.
VCT,2,Victor Technology,https://www.victortech.com/,confirmed,Calculators/tech office supplies.
SENX,2,unknown,,research,Search by SKU.
HTWTLTR,2,Heartwood Taylor (returns),https://www.heartwooddl.com/,likely,HTW Taylor return sub-SKUs.
SENSFW,2,unknown,,research,Verify.
DEFCM,2,Deflecto,https://deflecto.com/,confirmed,Deflecto CM sub-line.
TEK/TEKNION,2,Teknion,https://www.teknion.com/,confirmed,Canadian mfr — premium systems furniture.
ALLSEATING,1,Allseating,https://www.allseating.com/,confirmed,Canadian task chair mfr.
MMM,1,3M,https://www.3m.com/,confirmed,3M office supplies.
GLBMLIR/GLBMLP,1-1,Global (ML sub-variants),https://www.globalfurnituregroup.com/,likely,Verify.
GLOBAO,1,Global (Basyx),https://www.globalfurnituregroup.com/,confirmed,Global-era Basyx SKU.
JNT,1,Jonti-Craft,https://www.jonti-craft.com/,likely,Education furniture. Verify.
OFGODM,1,Offices to Go (DM line),https://www.officestogo.com/,likely,Verify.
SYNN,1,unknown,,research,Search by SKU.
DELIVERY/INSTALLATION/DISMANTLE/OCD/D/D&I,various,N/A — service line items,,service,"These are NOT products — they're delivery/installation/service pseudo-SKUs. Skip enrichment; mark for archival."
OCI,1,Office Central Interiors,,internal,Legacy OCI store prefix — internal service item.
