handle,title,vendor,type,tags,published,status
bookcase,Bookcase,Business Interiors,,"bestseller, industry:business, room:private-office, type:storage",true,active
bookcase-1-shelf-32-wide-x-72-high,"Bookcase - 1"" Shelf 32"" Wide x 72"" High",Business Interiors,,"bestseller, industry:business, room:private-office, type:storage",true,active
bookcase-15-sizes-available,Bookcase (15 Sizes Available),Business Interiors,,"bestseller, industry:business, room:private-office, type:storage",true,active
bookcase-31-5-wide-x-13-75-deep,"Bookcase 32"" Wide x 14"" Deep",Business Interiors,,"bestseller, industry:business, room:private-office, type:storage",true,active
bookcase-metal-2-size-options,Bookcase Metal 2 Size options,Business Interiors,,"industry:business, room:private-office, type:storage",true,active
bookcase-with-closed-lower-storage,Bookcase with Closed Lower Storage,Business Interiors,,"bestseller, industry:business, room:private-office, type:storage",true,active
boulevard-system-3,Boulevard System 3,Business Interiors,,"industry:business, type:desks",true,active
bow-front-desk-72x42,"Bow Front Desk 72""X42""",Business Interiors,,"industry:business, room:private-office, type:desks",true,active
brighton-high-back-tilter-mvl2787,Brighton | High Back Tilter MVL2787,Business Interiors,,"bestseller, industry:business, type:chairs",true,active
bungee-tables-rectangular-flip-top-table-spider-legs-wheels,"Bungee™ Tables Rectangular Flip-Top Table, Spider Legs, Wheels",Office Central & Brant Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
cabinet-file-file-right-wardrobe-inv-6524cffwr-24,Cabinet / File / File / Right Wardrobe INV-6524CFFWR-24,Business Interiors,,"industry:business, room:private-office, type:storage",true,active
canopy-seating,Canopy Seating,Business Interiors,,"industry:business, type:chairs",true,active
carpeted-floor-48-x-36-6,"Carpeted Floor - 48"" x 36""",Business Interiors,,,true,active
carpeted-floor-48-x-60,"Carpeted Floor - 48"" x 60""",Business Interiors,,,true,active
carpeted-floor-48-x-60-1,"Carpeted Floor - 48"" x 60""",Business Interiors,,,true,active
carpeted-floor-60x-46,"Carpeted Floor - 60""x 46""",Business Interiors,,,true,active
caster-options,Caster Options,Business Interiors,Avis-add-charge,"bestseller, industry:business, type:accessories",false,active
casters-2-5-set-1,"Casters - 2"" 5 / Set",Business Interiors,,"industry:business, type:accessories",true,active
casters-5-set-1,Casters- 5 / Set,Business Interiors,,"industry:business, type:accessories",true,active
ceiling-baffles-sound-acoustic-dampeners,Ceiling Baffles Sound Acoustic Dampeners,Business Interiors,Sound dampeners,"industry:business, type:accessories",true,active
ceiling-grids-sound-acoustic-dampeners-1,Ceiling Grids Sound Acoustic Dampeners,Business Interiors,,"industry:business, type:accessories",true,active
ceiling-grids-sound-acoustic-dampeners-copy,Ceiling Grids Sound Acoustic Dampeners,Business Interiors,,"industry:business, type:accessories",true,active
ceiling-grids-sound-acoustic-dampeners-orb,Ceiling Grids Sound Acoustic Dampeners ORB,Business Interiors,,"industry:business, type:accessories",true,active
chair-black-steel-frame-2,Chair Black Steel Frame,Business Interiors,,"bestseller, industry:business, type:chairs",true,active
chair-black-steel-frame-3,Chair - Black Steel Frame,Business Interiors,,"bestseller, industry:business, type:chairs",true,active
chair-dolly-duet-chairs,Chair Dolly (Duet Chairs),Business Interiors,,"industry:business, type:chairs",true,active
charging-station-with-a-clamp,Charging station with a clamp,Business Interiors,,"industry:business, type:accessories",true,active
chevron-ultra-high-back-multi-tilter-chair-high-back-bao11203-1,Chevron Ultra High Back Multi-Tilter Chair - High Back BAO11203,Business Interiors,,"bestseller, industry:business, type:chairs",true,active
chevron-ultra-medium-back-multi-tilter-chair,Chevron Ultra Medium Back Multi-Tilter Chair,Business Interiors,,"industry:business, type:chairs",true,active
circular-reception-unit-w-41-r,Circular Reception Unit W-41-R,Business Interiors,,"industry:business, room:reception, type:desks",true,active
citi-lounge-seating-3-sizes-available,Lounge Seating (3 sizes available),Office Central & Brant Business Interiors,,"bestseller, industry:business, room:lounge, type:lounge",true,active
clamp-on-power-bar-and-usb-charging-station,Clamp-On Power Bar and USB Charging Station,Business Interiors,,"industry:business, type:accessories",true,active
cluster-seating,Cluster Seating 4,Office Central & Brant Business Interiors,,"industry:business, type:chairs",true,active
cluster-seating-2,Cluster Seating 2,Office Central & Brant Business Interiors,,"industry:business, type:chairs",true,active
coat-tree,Coat Tree,Office Central & Brant Business Interiors,,"industry:business, type:accessories",true,active
coat-tree-hook-stand-1,Coat Tree Hook Stand,Business Interiors,,"industry:business, type:accessories",true,active
cobalt-medium-back-tilter-mvl2785,Cobalt | Medium Back Tilter MVL2785,Business Interiors,,"industry:business, type:chairs",true,active
coffee-table,Coffee Table,Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
coffee-table-1,Coffee Table,Business Interiors,,"bestseller, industry:business, room:boardroom, type:tables",true,active
coffee-table-33-x-33-15-height-2,"Coffee Table  33"" x 33"" 15"" Height",Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
coffee-table-chrome,Coffee Table Chrome,Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
coffee-table-seating,Coffee Table & Seating,Business Interiors,,"industry:business, type:chairs",true,active
colour,Colour,Office Central & Brant Business Interiors,Avis-add-charge,bestseller,false,active
comfort-time-ultra-petit-seat-multi-tilter-chair-high-back-baomvl1880g5,Comfort-Time Ultra Petit Seat Multi-Tilter Chair High Back BAOMVL1880G5,Business Interiors,,"industry:business, type:chairs",true,active
concorde-high-back-24hr-executive-synchro-tilter-2424,Concorde® High Back 24HR Executive Synchro-Tilter (2424),Office Central & Brant Business Interiors,,"industry:business, room:private-office, type:chairs",true,active
concorde-high-back-24hr-executive-synchro-tilter-deep-seat-2424-18,"Concorde® High Back 24HR Executive Synchro-Tilter, Deep Seat (2424-18)",Office Central & Brant Business Interiors,,"industry:business, room:private-office, type:chairs",true,active
concorde-high-back-executive-multi-tilter-2424,Concorde® High Back Executive Multi-Tilter 2424,Business Interiors,,"industry:business, room:private-office, type:chairs",true,active
contemporary-metal-desk,Contemporary Metal Desk,Business Interiors,,"industry:business, room:private-office, type:desks",true,active
cord-cover,Cord Cover Snake,Office Central & Brant Business Interiors,,"industry:business, type:accessories",true,active
corner-maker-12,"Corner Maker 12""",Office Central & Brant Business Interiors,,"industry:business, type:accessories",true,active
corner-maker-2-sizes,Corner Maker 2 sizes,Office Central & Brant Business Interiors,,"industry:business, type:accessories",true,active
craft-cube-square-unit,Craft Cube | Square Unit,Business Interiors,,"industry:business, type:tables",true,active
craft-curve-120-degree-unit-2,Craft | Curve-120 Degree Unit,Business Interiors,,"industry:business, type:tables",true,active
craft-rectangle-unit-1,Craft | Rectangle Unit,Business Interiors,,"industry:business, type:tables",true,active
craft-round-20-unit,"Craft | Round 20"" Unit",Business Interiors,,,true,active
craft-wedge-overtable-chrome-leg-1,Craft Wedge Overtable Chrome Leg,Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
craft-wedge-unit,Craft | Wedge Unit,Business Interiors,,"industry:business, type:tables",true,active
credenza-60x20,"Credenza 60""x20""",Business Interiors,,"industry:business, room:private-office, type:storage",true,active
credenza-lflf-1,Credenza LFLF,Business Interiors,,"industry:business, room:private-office, type:storage",true,active
credenza-lfmsu,Credenza LFMSU,Business Interiors,,"industry:business, room:private-office, type:storage",true,active
credenza-scmsu,Credenza SCMSU,Business Interiors,,"bestseller, industry:business, room:private-office, type:storage",true,active
credenza-sliding-doors,Credenza Sliding Doors,Business Interiors,,"industry:business, room:private-office, type:storage",true,active
credenza-storage-hutch,Credenza Storage & Hutch,Business Interiors,,"industry:business, room:private-office, type:storage",true,active
credenza-storage-storage-with-locks,Credenza Storage / Storage with locks,Business Interiors,,"industry:business, room:private-office, type:storage",true,active
credenza-with-sliding-doors-36-high,"Credenza with Sliding doors 36"" High",Business Interiors,,"industry:business, room:private-office, type:storage",true,active
custom-reception-unit-accessories,Custom Reception Unit & Accessories,Office Central & Brant Business Interiors,,"industry:business, room:reception, type:accessories",true,active
d-top-table,D-Top Table With or Without Modesty,Office Central & Brant Business Interiors,,"bestseller, industry:business, room:boardroom, type:tables",true,active
danio-armless-height-adjustable-task-stool,Danio | Armless Height Adjustable Task Stool,Business Interiors,,"industry:business, type:chairs",true,active
deep-hi-boy-storage-cabinet-72-h-x-36-w-x-24-d,"Deep Hi-Boy Storage Cabinet 72"" H x 36"" W x 24"" D",Business Interiors,,"industry:business, room:private-office, type:storage",true,active
delivery,Delivery,Office Central & Brant Business Interiors,Service,,false,active
delivery-35,DELIVERY 35,Business Interiors,,,false,archived
delivery-75,Delivery 75,Business Interiors,,,false,archived
delivery-charge-125,Delivery Charge 125,Business Interiors,,,false,archived
delivery-charge-175-00,Delivery Charge 175.00,Business Interiors,,bestseller,true,active
delivery-charge-65,Delivery Charge $65,Business Interiors,,,false,archived
delivery-charge-85-00,Delivery Charge $85.00,Business Interiors,,bestseller,true,active
delivery-charge-tailgate,Delivery Charge (Tailgate),Office Central & Brant Business Interiors,,,false,archived
delivery-installation,Delivery & Installation,Office Central & Brant Business Interiors,,,false,archived
delivery-installation-250,Delivery & Installation,Business Interiors,,,false,archived
delivery-installation-charge-250-00,Delivery & installation Charge 250.00,Business Interiors,,,false,archived
deluxe-high-back-executive-chair,DELUXE HIGH BACK EXECUTIVE CHAIR,Business Interiors,,,false,archived
deluxe-mid-back-executive-chair,DELUXE MID BACK EXECUTIVE CHAIR,Business Interiors,,,false,archived
demeter-mid-back-ergonomic-chair-buyers-choice-award,"DEMETER Mid Back Ergonomic Chair ""Buyers Choice Award""",Office Central & Brant Business Interiors,,"industry:business, type:chairs",true,active
desk-2-drawer-48-x-24-x-29-1,"Desk - 2-Drawer - 48"" x 24"" x 29""",Business Interiors,,"industry:business, room:private-office, type:desks",true,active
desk-double-pedestal,Desk Double Pedestal,Business Interiors,,"industry:business, room:private-office, type:desks",true,active
desk-l-shape-with-drawers,Desk L-Shape with Drawers,Business Interiors,,"industry:business, room:private-office, type:desks",true,active
desk-lamp-5-30-w-led-bulb-adjustable-metal-acrylic-desk-mountable,"Desk Lamp - 5.30 W LED Bulb - Adjustable - Metal, Acrylic - Desk Mountable",Business Interiors,,"industry:business, room:private-office, type:desks",true,active
desk-power-grommet,Desk Power Grommet,Business Interiors,,"industry:business, room:private-office, type:desks",true,active
desk-shell-5-sizes,Desk Shell (5 Sizes),Business Interiors,,"bestseller, industry:business, room:private-office, type:desks",true,active
desk-shells,Desk Shells,Office Central & Brant Business Interiors,,"industry:business, room:private-office, type:desks",true,active
desk-single-pedestal,Desk Single Pedestal,Business Interiors,,"industry:business, room:private-office, type:desks",true,active
desk-single-pedestal-1,NEWLAND | DOUBLE PEDESTAL DESK,Business Interiors,,"industry:business, room:private-office, type:desks",true,active
desk-single-pedestal-bbf,Desk Single Pedestal BBF,Business Interiors,,"bestseller, industry:business, room:private-office, type:desks",true,active
desk-top-divider-divide,Desk Top Divider DIVIDE,Business Interiors,,"industry:business, room:private-office, type:desks",true,active
desk-top-dividers,Desk Top Dividers,Business Interiors,,"industry:business, room:private-office, type:desks",true,active
desk-top-dividers-1,Desk Top Dividers,Office Central & Brant Business Interiors,,"industry:business, room:private-office, type:desks",true,active
desk-u-shape-mlp205-1,Desk U-Shape,Business Interiors,,"industry:business, room:private-office, type:desks",true,active
desktop-riser-black-2,Desktop Riser Black,Business Interiors,,"industry:business, room:private-office, type:desks",true,active
desktop-sit-stand-workstation-mvl5230b0,Desktop Sit-Stand Workstation MVL5230B0,Business Interiors,,"industry:business, room:open-plan, type:desks",true,active
diet,Diet,Business Interiors,,,true,active
display-shelving,Display Shelving,Business Interiors,,"industry:business, room:private-office, type:storage",true,active
dispose,Disposal Program,Office Central & Brant Business Interiors,,,false,active
dolly-7,Dolly,Business Interiors,,"industry:business, type:accessories",true,active
dolly-for-sonic-chairs-6517ws,Dolly for Sonic Chairs 6517WS,Business Interiors,,"industry:business, type:chairs",true,active
door-32-x-32-1,"Door - 32"" x 32""",Business Interiors,,"industry:business, type:accessories",true,active
drafting-table,Drafting Table,Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
drafting-table-custom,Drafting Table Custom,Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
drafting-table-precision-table-2-sizes,Drafting Table Precision Table  2 Sizes,Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
drafting-table-safco-vista-drawing-table,Drafting Table Safco Vista Drawing Table,Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
drift-seating,Drift Seating,Business Interiors,,"bestseller, industry:business, type:chairs",true,active
dual-coloured-bookcase-15-sizes-available,Dual Coloured Bookcase (15 Sizes Available),Business Interiors,,"industry:business, room:private-office, type:storage",true,active
dual-monitor-arm,Dual Monitor Arm,Business Interiors,,"industry:business, type:accessories",true,active
dual-sided-height-adjustable-table,Dual Sided Height Adjustable Table,Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
duet-tablet-chair,Duet Tablet Chair,Business Interiors,,"industry:educational, type:chairs",true,active
easy-pull-in-out-keyboard-tray,Easy Pull in & Out Keyboard Tray,Business Interiors,,"industry:business, type:accessories",true,active
echo-3670-3-task-chair,Echo 3670-3 Task Chair,Business Interiors,,"industry:business, type:chairs",true,active
echo-medium-back-multi-tilter-3671-3-1,Echo™ Medium Back Multi-Tilter (3671-3),Business Interiors,,"industry:business, type:chairs",true,active
educational-student-tables-5-shapes-sizes,Educational Student Tables (5 Shapes & Sizes),Office Central & Brant Business Interiors,,"industry:educational, room:boardroom, type:tables",true,active
efloat-quattro-humanscale,eFloat Quattro Humanscale,Office Central & Brant Business Interiors,,"industry:business, type:accessories",true,active
electric-desk-riser-dual-monitor-arm,Electric Desk Riser + Dual Monitor Arm,Office Central & Brant Business Interiors,,"industry:business, room:private-office, type:desks",true,active
electric-dual-monitor-height-adjustable-standing-desk-workstation-dc450,Electric Dual Monitor Height Adjustable Standing Desk Workstation DC450,Business Interiors,,"industry:business, room:open-plan, type:desks",true,active
electric-height-adjustable-standing-desk-workstation-4,Electric Height Adjustable Standing Desk Workstation,Business Interiors,,"industry:business, room:open-plan, type:desks",true,active
electronic-lock-business-safes,Electronic Lock Business Safes,Business Interiors,,"industry:business, room:private-office, type:storage",true,active
elora-multi-tilter-high-back-chair-black-baomvl1893,ELORA Multi-Tilter High Back Chair Black BAOMVL1893,Business Interiors,,"bestseller, industry:business, type:chairs",true,active
elora-multi-tilter-high-back-chair-black-petite-seat-baomvl1894,ELORA Multi-Tilter High Back Chair Black PETITE SEAT BAOMVL1894,Business Interiors,,"industry:business, type:chairs",true,active
end-table-29-x-29-x-16,"End Table - 29"" x 29"" x 16""",Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
end-table-chrome,End Table Chrome,Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
end-table-glass-top,End Table Glass Top,Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
eor-guest-chair-mvl3920b,EOR Guest chair MVL3920B,Office Central & Brant Business Interiors,,"industry:business, room:reception, type:chairs",true,active
ergo-boss-high-back-multi-tilter-chair-1,Ergo Boss™ High Back Multi-Tilter Chair,Business Interiors,,"bestseller, industry:business, type:chairs",true,active
ergo-boss-multi-tilter-chair-2,Ergo Boss™ Multi-Tilter Chair,Business Interiors,,"industry:business, type:chairs",true,active
evolve-workstations,Evolve Workstations,Office Central & Brant Business Interiors,,"industry:business, room:open-plan, type:desks",true,active
executive-suites-height-adjustable-desk,Executive Suites Height Adjustable Desk,Business Interiors,,"industry:business, room:private-office, type:desks",true,active
executive-u-shape-desk-set,Executive U-Shape Desk Set,Business Interiors,,"bestseller, industry:business, room:private-office, type:desks",true,active
executive-workstation-10x10,Executive Workstation 10'x10',Office Central & Brant Business Interiors,,"industry:business, room:private-office, type:desks",true,active
extended-high-back-tilter-otg11359-carleton,Extended High Back Tilter OTG11359 Carleton,Business Interiors,,"industry:business, type:chairs",true,active
extended-high-back-wide-deep-seat-multi-tilt-bao27513,Extended High Back Wide & Deep Seat Multi Tilt BAO27513,Business Interiors,,"bestseller, industry:business, type:chairs",true,active
factor-mesh-back-armchair-casters-5545amc-1,"Factor™ Mesh Back Armchair, Casters (5545AMC)",Business Interiors,,"industry:business, type:chairs",true,active
factor-mesh-seating,Factor Mesh Seating,Business Interiors,,"industry:business, type:chairs",true,active
factor-mesh-seating-stool,Factor Mesh Seating Stool,Business Interiors,,"industry:business, type:chairs",true,active
fax-printer-machine-stand,"Fax, Printer, Machine Stand",Office Central & Brant Business Interiors,,"industry:business, type:accessories",true,active
fellowes-array-ceiling-ac2-air-purifier,Fellowes Array® Ceiling AC2 Air Purifier,Business Interiors,,"industry:business, type:accessories",true,active
fellowes-array-recess-ar-air-purifier-1,Fellowes Array™ Recess AR Air Purifier,Business Interiors,,"industry:business, type:accessories",true,active
fellowes-array-wall-stand-air-purification,Fellowes Array Wall & Stand Air Purification,Business Interiors,,"industry:business, type:accessories",true,active
fellowes-lotus-dual-monitor-arm-kit-2-display-s-supported27-arm-only-fel8042901,"Fellowes Lotus™ Dual Monitor Arm Kit - 2 Display(s) Supported27"" (Arm only) FEL8042901",Business Interiors,,"industry:business, type:accessories",true,active
felt-acoustic-room-dividers,Felt Acoustic Room Dividers,Business Interiors,Sound dampeners,"industry:business, type:accessories",true,active
felt-acoustic-wall-tiles,Felt Acoustic Wall Tiles,Business Interiors,Sound dampeners wall tiles,"industry:business, type:accessories",true,active
felt-sound-dampeners,Felt Sound Dampeners,Business Interiors,,"industry:business, type:accessories",true,active
file-buddy-swivel-stool-black-vinyl,File Buddy Swivel Stool Black Vinyl,Business Interiors,,"industry:business, type:chairs",true,active
finch-armless-stacking-armchair-mvl11704,Finch | Armless Stacking Armchair MVL11704,Office Central & Brant Business Interiors,,"industry:business, type:chairs",true,active
fireking-storage-cabinet-44-high,"FireKing Storage Cabinet 44"" High",Business Interiors,,"industry:business, room:private-office, type:storage",true,active
fireking-storage-cabinet-72-high,"FireKing Storage Cabinet 72"" High",Business Interiors,,"industry:business, room:private-office, type:storage",true,active
flap-folding-chair-6775-1,Flap™ Folding Chair (6775),Business Interiors,,"industry:business, type:chairs",true,active
flip-top-table-48-x-24,"Flip-Top Table - 48"" x 24""",Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
floor-chairmat-carpet-hard-floor-60-x-46,"Floor Chairmat Carpet, Hard Floor 60""  x 46""",Business Interiors,,"industry:business, type:chairs",true,active
folding-chair-cart,Folding Chair Cart,Office Central & Brant Business Interiors,,"industry:business, type:chairs",true,active
folding-chair-plastic-4-pack,Folding Chair-Plastic 4/Pack,Business Interiors,,"bestseller, industry:business, type:chairs",true,active
folding-table-24-x-48-1,"Folding Table  24""  x 48""",Business Interiors,,"bestseller, industry:business, room:boardroom, type:tables",true,active
folding-table-30-x-96-1,"Folding Table  30""  x 96""",Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
folding-table-30x-72,"Folding Table 30""x 72""",Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
folding-table-36-bt36-resin,"Folding Table 36"" BT36 Resin",Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
folding-table-60-4,Folding Chair,Business Interiors,,"industry:business, type:chairs",true,active
folding-table-60-x-30-1,"Folding Table 60"" x 30""",Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
folding-table-8,Folding Table,Business Interiors,,"industry:business, room:boardroom, type:tables",true,active
follower-block-mvlfb,Follower Block MVLFB,Office Central & Brant Business Interiors,,,true,active
format-high-back-synchro-tilter-with-adjustable-headrest-chair-mvl3192,Format | High Back Synchro-Tilter with Adjustable Headrest Chair MVL3192,Business Interiors,,"bestseller, industry:business, type:chairs",true,active
format-high-back-weight-sensing-synchro-tilter-mesh-seat-and-back-mvl3197-copy,"Format+ | High Back Weight Sensing Synchro-Tilter, Mesh Seat and Back",Business Interiors,,"bestseller, industry:business, type:chairs",true,active
format-high-mesh-back-synchro-tilter,Format | High Mesh Back Synchro-Tilter,Business Interiors,,"bestseller, industry:business, type:chairs",true,active
