Page,Type,Source,Status,Local_Path,FAL_URL,Prompt
home-office,product,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/home-office/home-office-product.jpg,,"Professional product photography of a compact L-shape sit-stand desk in a white finish on a clean white studio background, commercial catalogue lighting. No people, no text overlays."
home-office,space,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/home-office/home-office-space.jpg,,"Bright residential home office nook with a compact sit-stand desk, ergonomic chair, large window, built-in shelving, plants. Warm Scandinavian interior style. No people, no text overlays."
acoustic-pods,product,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/acoustic-pods/acoustic-pods-product.jpg,,"Professional product photography of a freestanding office acoustic privacy pod with upholstered walls and integrated seating, on a clean white studio background, commercial catalogue style. No people, no text overlays."
acoustic-pods,space,OCI_PHOTO,SKIPPED_OCI,/Users/leokatz/Desktop/Office Central/data/oci-photos/Pods-4-1.jpg,,"Open-plan modern office with an acoustic privacy pod installed among workstations, warm interior lighting inside the pod contrasting the bright open office, contemporary Scandinavian style. No people, no text overlays."
healthcare,product,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/healthcare/healthcare-product.jpg,,"Professional product photography of a bariatric healthcare office chair with antimicrobial upholstery on a clean white studio background, catalogue lighting. No people, no text overlays."
healthcare,space,OCI_PHOTO,SKIPPED_OCI,/Users/leokatz/Desktop/Office Central/data/oci-photos/OCI-Healthcare-Carousel-3.jpg,,"Modern clinical nursing station or hospital hallway with healthcare-grade furniture including a reception desk and chairs, clean white and blue palette, institutional lighting, spotless surfaces. No people, no text overlays."
education,product,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/education/education-product.jpg,,"Professional product photography of a rectangular training table with stackable educational chairs on a clean white studio background, commercial catalogue style. No people, no text overlays."
education,space,OCI_PHOTO,SKIPPED_OCI,/Users/leokatz/Desktop/Office Central/data/oci-photos/OCI-Education-1.jpg,,"Modern school library or classroom study space with collaborative training tables and chairs arranged in groups, bright natural light through windows, educational furniture in primary colours on a neutral background. No people, no text overlays."
government,product,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/government/government-product.jpg,,"Professional product photography of a panel workstation system with overhead storage and a task chair on a clean white studio background, commercial catalogue lighting. No people, no text overlays."
government,space,OCI_PHOTO,SKIPPED_OCI,/Users/leokatz/Desktop/Office Central/data/oci-photos/OCI-Government-Federal-Furniture-Gallery-Image-1.jpg,,"Canadian government open-plan administrative office with rows of panel workstation systems, neutral grey fabric panels, institutional ceiling, fluorescent and natural light. Realistic interior photography. No people, no text overlays."
non-profit,product,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/non-profit/non-profit-product.jpg,,"Professional product photography of a simple task chair and a rectangular desk on a clean white studio background, commercial catalogue style. No people, no text overlays."
non-profit,space,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/non-profit/non-profit-space.jpg,,"Warm community organization office with modest task chairs, simple desks, motivational wall art, bright natural light, colourful accents. Inviting and friendly atmosphere. No people, no text overlays."
professional-services,product,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/professional-services/professional-services-product.jpg,,"Professional product photography of a height-adjustable sit-stand desk in a light oak finish on a clean white studio background, catalogue lighting. No people, no text overlays."
professional-services,space,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/professional-services/professional-services-space.jpg,,"Modern professional services office — law firm or consulting studio — with sit-stand desks, glass partitions, polished floors, city window view. Sophisticated neutral palette. No people, no text overlays."
design-services,product,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/design-services/design-services-product.jpg,,"Professional product photography of a space-planning model showing an office furniture layout concept on a clean white studio background, architectural scale model style. No people, no text overlays."
design-services,space,OCI_PHOTO,SKIPPED_OCI,/Users/leokatz/Desktop/Office Central/data/oci-photos/OCI-Planning-Desogn.jpg,,"Open-plan office in the space-planning stage with architectural drawings and furniture samples visible on a planning table, bright design studio, moodboard on the wall. Creative professional interior. No people, no text overlays."
collections-hub,product,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/collections-hub/collections-hub-product.jpg,,"Professional product photography collage of three office furniture categories — an ergonomic chair, a sit-stand desk, and a lateral file cabinet — arranged neatly on a clean white studio background. Commercial catalogue style. No people, no text overlays."
collections-hub,space,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/collections-hub/collections-hub-space.jpg,,"Wide-angle multi-zone modern office showing a task-seating zone, a collaboration zone with a boardroom table, and a private office zone, all in one open-plan space, bright natural light. No people, no text overlays."
verticals-hub,product,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/verticals-hub/verticals-hub-product.jpg,,"Professional composite photograph showing four office environments side by side: a school classroom, a hospital nursing station, a government office, and a corporate boardroom — each with appropriate institutional furniture. No people, no text overlays."
verticals-hub,space,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/verticals-hub/verticals-hub-space.jpg,,"Split-panel wide-angle interior photograph: Canadian government open-plan office on the left, healthcare nursing station on the right, clean institutional environments, bright lighting. No people, no text overlays."
keilhauer,product,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/keilhauer/keilhauer-product.jpg,,"Professional product photography of a Keilhauer premium upholstered boardroom chair, warm leather finish, on a clean white studio background, editorial catalogue lighting. No people, no text overlays."
keilhauer,space,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/keilhauer/keilhauer-space.jpg,,"Upscale Toronto corporate boardroom with Keilhauer chairs around a dark polished conference table, city skyline through floor-to-ceiling windows, sophisticated dark wood and steel finishes. No people, no text overlays."
global-teknion,product,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/global-teknion/global-teknion-product.jpg,,"Professional product photography of a modular panel workstation system with Global Upholstery and Teknion aesthetic — clean lines, fabric panels, integrated storage — on a white studio background. No people, no text overlays."
global-teknion,space,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/global-teknion/global-teknion-space.jpg,,"Corporate systems-furniture open-plan office with rows of Teknion-style panel workstations, consistent grey fabric, glass partitions, abundant natural light. Clean architectural interior. No people, no text overlays."
ergocentric,product,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/ergocentric/ergocentric-product.jpg,,"Professional product photography of an ergoCentric all33 or TechONE ergonomic task chair, Canadian-made, on a clean white studio background, sharp catalogue lighting, slight drop shadow. No people, no text overlays."
ergocentric,space,GENERATED,DRY_RUN,/Users/leokatz/Desktop/Office Central/data/page-images/ergocentric/ergocentric-space.jpg,,"Ergonomics-focused modern office with ergoCentric task chairs at height-adjustable desks, monitor arms, keyboard trays, bright open workspace, motivational ergonomics poster on the wall. No people, no text overlays."
