decode_group,title,sku,sku_prefix,mpn_barcode,product_type,tags,partial_signal,why_ambiguous,body_excerpt,storefront_link,real_manufacturer
B · decodable SKU prefix,Gas lift monitor riser,SPR-LLR99554,SPR,,,oecm-eligible,prefix=SPR,SKU prefix 'SPR' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Desk riser allows you to go from sitting to standing with ease. Stop at any position from 6-1/4"" x 19-1/2"" when adjusting the height. Desk riser operates with a",https://www.brantbusinessinteriors.com/products/gas-lift-monitor-riser,
B · decodable SKU prefix,Anda seat phantom king gaming style office chair,SYNN-AD18XL-58-B-PVC,SYNN,,,oecm-eligible,prefix=SYNN,SKU prefix 'SYNN' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Overview Dominate the battlefield with the Anda Seat Phantom 3 gaming chair. Its ergonomic design includes a headrest, lumbar support, and 2D armrests to offer",https://www.brantbusinessinteriors.com/products/anda-seat-phantom-king-gaming-style-office-chair,Andaseat
B · decodable SKU prefix,6 drawer end tab cabinet S128 drawers — 6 drawer,TEK-LLF60L2036D1A 2102204,TEK,,,oecm-eligible,prefix=TEK,SKU prefix 'TEK' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Made in Canada Cabinets with fixed shelves, receding doors, and looped full pull handles accommodate letter size files and file pockets Includes 3 plate divider",https://www.brantbusinessinteriors.com/products/6-drawer-end-tab-cabinet-s128-drawers,
B · decodable SKU prefix,Dual sided height adjustable table,WS48 AGE2DSD126/#_F INV2448TOP,WS,,,oecm-eligible,prefix=WS,SKU prefix 'WS' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"STANDARD FEATURES • Super quiet, dual synchronized motor; less than 48db noise • Anti-collision protection • Optional upgraded controller displaying exact heigh",https://www.brantbusinessinteriors.com/products/dual-sided-height-adjustable-table,Workspace48
B · decodable SKU prefix,Flip Top Training Tables 7 Sizes,WS48-MFLIP080/BF-WS101003-7981,WS,,,industry:educational; oecm-eligible; room:training-room; type:tables,prefix=WS,SKU prefix 'WS' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Frames: White or Black with Silver Powder coat finish base. Worksurfaces: 1” M2 Grade substrate Studio White Matching 2mm PVC edge High Pressure Laminate Featur,https://www.brantbusinessinteriors.com/products/uni-flip-training-tables-7-sizes,Workspace48
B · decodable SKU prefix,Indoor planter,WS48-PLANTER/B,WS,,,oecm-eligible,prefix=WS,SKU prefix 'WS' not in the locked prefix->manufacturer lookup; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Bring the outdoors in Bring the outdoors in to establish and maintain a positive connection with nature in the office! The Viro modular plant wall provides nece,https://www.brantbusinessinteriors.com/products/indoor-planter,Workspace48
"C · has SKU, weak prefix",Bar height table,900-SQU20BARSIL-INVSQ24,(numeric),,,oecm-eligible,code-led SKU=900-SQU20BARSIL-INVSQ24,SKU '900-SQU20BARSIL-INVSQ24' is code/numeric-led with no manufacturer prefix; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Bar Height Table Metal Base available in Square or Round Base available in 3 colours: Black, Silver & White 8 Colours Base Height: 41"" Top Thickness 1""=42"" High",https://www.brantbusinessinteriors.com/products/bar-height-table,
"C · has SKU, weak prefix",Duet Tablet Chair,6620TR,(numeric),,,industry:educational; oecm-eligible; type:chairs,code-led SKU=6620TR,SKU '6620TR' is code/numeric-led with no manufacturer prefix; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Armchair with Right or Left Tablet, Polypropylene Seat & Back",https://www.brantbusinessinteriors.com/products/duet-tablet-chair,
"C · has SKU, weak prefix",Hardware for ceiling tiles,9  HAC-PANCLAMP-PF,(numeric),,,oecm-eligible,code-led SKU=9  HAC-PANCLAMP-PF,SKU '9  HAC-PANCLAMP-PF' is code/numeric-led with no manufacturer prefix; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Mounting and suspension hardware for acoustic ceiling tiles and drop-ceiling panels. Includes the clips, wires, and brackets required for a clean installation. ",https://www.brantbusinessinteriors.com/products/hardware-for-ceiling-tiles,
"C · has SKU, weak prefix",Stacking chair popcorn — 6711,6621,(numeric),,,oecm-eligible,code-led SKU=6621,SKU '6621' is code/numeric-led with no manufacturer prefix; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Duet is a high-density stacking chair that is easy to connect, quick to stack and simple to store. Frame is made from durable solid steel rod available in chrom",https://www.brantbusinessinteriors.com/products/stacking-chair-popcorn-6711,
"C · has SKU, weak prefix",Stacking chair sonic — 6508,6508,(numeric),,,oecm-eligible,code-led SKU=6508,SKU '6508' is code/numeric-led with no manufacturer prefix; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Sonic is ideal for meeting rooms, office guest seating, food facilities, lecture halls, and just about anywhere. The series is offered with or without arms, wit",https://www.brantbusinessinteriors.com/products/stacking-chair-sonic-6508,
"C · has SKU, weak prefix",Student Chair 4 sizes,C-HR-4LEG12,(numeric),,,oecm-eligible,code-led SKU=C-HR-4LEG12,SKU 'C-HR-4LEG12' is code/numeric-led with no manufacturer prefix; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Honor Roll 4-Leg Stacking Chair is developed for use in any learning environment. It is the only chair on the market that can stack fifteen chairs high freestan,https://www.brantbusinessinteriors.com/products/student-chair-4-sizes-1,Alumni Educational Solutions
"C · has SKU, weak prefix",Student Chair 4 sizes,C-AIR-4LEG12,(numeric),,,oecm-eligible,code-led SKU=C-AIR-4LEG12,SKU 'C-AIR-4LEG12' is code/numeric-led with no manufacturer prefix; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"The Air 4-Leg Stacking Chair was developed for use in any learning environment. It can stack five chairs high freestanding, locking into one another when stacke",https://www.brantbusinessinteriors.com/products/student-chair-4-sizes-copy,Alumni Educational Solutions
"C · has SKU, weak prefix",Student Chair 4 sizes,C-SVY-4LEG12,(numeric),,,oecm-eligible,code-led SKU=C-SVY-4LEG12,SKU 'C-SVY-4LEG12' is code/numeric-led with no manufacturer prefix; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"The Savvy 4-Leg Stacking Chair was developed for use in any learning environment. It can stack five chairs high freestanding, locking into one another when stac",https://www.brantbusinessinteriors.com/products/student-chair-4-sizes,Alumni Educational Solutions
"C · has SKU, weak prefix",Supra x chair,5333-3,(numeric),,,oecm-eligible,code-led SKU=5333-3,SKU '5333-3' is code/numeric-led with no manufacturer prefix; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,upra X is the perfect complement of affordable ergonomic task seating designed for contemporary appearance and comfort. Famous seating designer Zooey Chu was co,https://www.brantbusinessinteriors.com/products/supra-x-chair-1,B
D · descriptive title only,1 1/2 Drawer High Lateral Cabinet,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"- 30"" x 19.3"" x 21.3"" - 2 x Drawer(s) for Box, File - L- 30"" x 19.3"" x 21.3"" - 2 x Drawer legal, Letter - Lateral - Welded, Eco-friendly, Ball-bearing Suspensio",https://www.brantbusinessinteriors.com/products/1-1-2-drawer-high-lateral-cabinet-4,
D · descriptive title only,Agile double sided 8-pod height adjustable shared desk,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Each workstation includes: Height Adjustable White Table 48""x24"" Cable Snake Drawers on Wheels Desktop Power Pack (USB,USBC;Duplex) Dividers (Front & Side) Over",https://www.brantbusinessinteriors.com/products/agile-double-sided-8-pod-height-adjustable-shared-desk,
D · descriptive title only,Arm caps for 2330 chair,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Model # 014038973-A for Model # 2330 Chair Sold as eaches. Order 2 ( Left and Right Arm) Not exactly as shown. NON Returnable. Price includes handling,https://www.brantbusinessinteriors.com/products/arm-caps-for-2330-chair,
D · descriptive title only,Boulevard system 3,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Boulevard System 3 Disregard Pricing,https://www.brantbusinessinteriors.com/products/boulevard-system-3,
D · descriptive title only,Caster options,,(none),,Avis-add-charge,bestseller; oecm-eligible; type:accessories,type=Avis-add-charge,no SKU on any variant; no brand tag (only category/oecm tags); no manufacturer name in title/body.,The right caster makes the difference between a chair that moves with you and one that fights you all day. Caster options from Brant Business Interiors are desi,https://www.brantbusinessinteriors.com/products/caster-options,
D · descriptive title only,Ceiling baffles sound acoustic dampeners,,(none),,Sound dampeners,oecm-eligible; type:accessories,type=Sound dampeners,no SKU on any variant; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Ceiling baffles that bring the noise down without getting in the way of your ceiling grid. Open-plan offices, training rooms, and multi-use facilities generate ",https://www.brantbusinessinteriors.com/products/ceiling-baffles-sound-acoustic-dampeners,
D · descriptive title only,Cluster seating 4,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Description Comfortably seats 4 adults Size: 24""x48"" 1"" thick 45lb high density particle board High pressure scratch resistant laminate Chewing gum resistant ta",https://www.brantbusinessinteriors.com/products/cluster-seating,
D · descriptive title only,Custom reception unit & accessories,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"As per Drawing, Sizes as shown.",https://www.brantbusinessinteriors.com/products/custom-reception-unit-accessories,
D · descriptive title only,Dolly for sonic chairs — 6517WS,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,This dolly is made specifically for the Sonic line of seating. Dimensions: W23.25 x D24.75 x H12.25 IN.,https://www.brantbusinessinteriors.com/products/dolly-for-sonic-chairs-6517ws,
D · descriptive title only,Dual monitor arm,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Fellowes Platinum Mounting Arm for Monitor - Silver - 2 Display(s) Supported 27"" Screen Support - 18.14 kg Load Capacity In Stock Category Monitor Arms Manufact",https://www.brantbusinessinteriors.com/products/dual-monitor-arm,
D · descriptive title only,Electric desk riser + dual monitor arm,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Electric Desk Riser + Dual Monitor Arm Large 37.25”” x 20.5” work surface. EVR Enhanced Vertical Range from 4.7” to 21.7”. Electric lift system raises up to 40,https://www.brantbusinessinteriors.com/products/electric-desk-riser-dual-monitor-arm,
D · descriptive title only,Evolve workstations,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Evolve® Stack. Connect. Support. Evolve offers tailored solutions that shape space, connect people and support new ways of working. Evolve provides the backbone",https://www.brantbusinessinteriors.com/products/evolve-workstations,
D · descriptive title only,"Factor mesh back armchair, casters (5545amc) — 5545AMC",,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"You just won’t believe the price. New to the series, Factor multi-purpose guest chairs feature a matching picture frame back design and the same finishes as the",https://www.brantbusinessinteriors.com/products/factor-mesh-back-armchair-casters-5545amc-1,
D · descriptive title only,Felt sound dampeners,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Manufactured in Canada & crafted with impeccable attention to detail using high-quality materials, our acoustic trophies and sculptures not only serve as eye-ca",https://www.brantbusinessinteriors.com/products/felt-sound-dampeners,
D · descriptive title only,Grommet hole & cover,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"2"" Plastic Cover For Local locations only Includes onsite cutting Hole Size: 2"" Cover Size: 1.76""",https://www.brantbusinessinteriors.com/products/grommet-hole-cover,
D · descriptive title only,"Haag Shell Jacket, Men's, 4X-Large, Black",,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height adjustment. Seat depth adjustment. Tilt lock. Tilt tension adjustment. He,https://www.brantbusinessinteriors.com/products/haag-shell-jacket-mens-4x-large-black-1,
D · descriptive title only,"Haag Shell Jacket, Men's, 4X-Large, Black",,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height adjustment. Seat depth adjustment. Tilt lock. Tilt tension adjustment. He,https://www.brantbusinessinteriors.com/products/haag-shell-jacket-mens-4x-large-black-2,
D · descriptive title only,High back tilter with arms,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Upholstery Options: Luxhide: Available in various colors,https://www.brantbusinessinteriors.com/products/high-back-tilter-with-arms,
D · descriptive title only,"Honor roll -dsq-1824-pb table desk - square leg base - 4 legs x 24"" table top width x 18"" table top depth 5 each — 18""",,(none),,,oecm-eligible; room:private-office; type:desks,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"Honor Roll series square-leg base table desk with a 24"" × 18"" work surface. Its compact footprint makes it a fit for training rooms, breakout spaces, touchdown",https://www.brantbusinessinteriors.com/products/honor-roll-dsq-1824-pb-table-desk-square-leg-base-4-legs-x-24-table-top-width-x-18-table-top-depth-5-each,
D · descriptive title only,Lateral file (used) 5 drawer beige nevada — 5 drawer,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Features Levelling glides standard Cam locks with removable cores are standard File bars included Interlock system prevents tipping by allowing only one drawer ,https://www.brantbusinessinteriors.com/products/lateral-file-used-5-drawer-beige-nevada,
D · descriptive title only,"Original ""Hydro"" Parkas, Men's, Medium, Navy Blue",,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,Unique back frame designed with wrap around mesh back High Back. Pneumatic seat height adjustment. Seat depth adjustment. Tilt lock. Tilt tension adjustment. He,https://www.brantbusinessinteriors.com/products/original-hydro-parkas-mens-medium-navy-blue,
D · descriptive title only,Please select a Finish,,(none),,Avis-add-charge,bestseller; oecm-eligible,type=Avis-add-charge,no SKU on any variant; no brand tag (only category/oecm tags); no manufacturer name in title/body.,,https://www.brantbusinessinteriors.com/products/please-select-a-finish,
D · descriptive title only,Please Select a Finish,,(none),,Avis-add-charge,bestseller; oecm-eligible,type=Avis-add-charge,no SKU on any variant; no brand tag (only category/oecm tags); no manufacturer name in title/body.,,https://www.brantbusinessinteriors.com/products/please-select-a-finish-1,
D · descriptive title only,Pod phone booths,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"POD (Privacy on Demand) is a family of products that are designed for occasional, short-duration privacy from the open plan. It supports technology and helps sh",https://www.brantbusinessinteriors.com/products/pod-phone-booths,
D · descriptive title only,Recliners by Ryno,,(none),,,industry:healthcare; oecm-eligible; type:outdoor,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,FEATURES Reclining motion is controlled with body weight – no controls or power required The internal mechanism is concealed to minimize ligature risks The gene,https://www.brantbusinessinteriors.com/products/recliners-by-ryno,
D · descriptive title only,Ryno patio furniture waterproof polyethylene,,(none),,,oecm-eligible,(no usable signal),no SKU on any variant; no product_type set; no brand tag (only category/oecm tags); no manufacturer name in title/body.,"FEATURES Additional weighting limits potential to weaponize Strength & stability tested for severe contract use Pick proof design UV resistant, waterproof polye",https://www.brantbusinessinteriors.com/products/ryno-patio-furniture-waterproof-polyethylene,
