Handle,Title,Image_Position,Filename,FAL_URL,Local_Path,Alt_Text,Prompt,Status
u-shape-height-adjustable-desk-suite-zira,U-Shape Height Adjustable Desk Suite Zira,3,u-shape-height-adjustable-desk-suite-zira-gen-3.jpg,https://v3b.fal.media/files/b/0a97b282/Sq6BMMCAFDN2UoSSvm5Ix.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/u-shape-height-adjustable-desk-suite-zira-gen-3.jpg,U-Shape Height Adjustable Desk Suite Zira - Office Setting,"U-Shape Height Adjustable Desk Suite Zira in a bright modern Canadian open-plan office environment, warm natural window light, contemporary neutral decor. No people, no text overlays.",GENERATED
u-shape-height-adjustable-desk-suite-zira,U-Shape Height Adjustable Desk Suite Zira,4,u-shape-height-adjustable-desk-suite-zira-gen-4.jpg,https://v3b.fal.media/files/b/0a97b282/qjFfp_3Df_HjuvX5k9mWu.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/u-shape-height-adjustable-desk-suite-zira-gen-4.jpg,U-Shape Height Adjustable Desk Suite Zira - Detail Close-Up,"Close-up detail shot of U-Shape Height Adjustable Desk Suite Zira, shallow depth of field, editorial style, studio lighting, emphasis on material texture and craftsmanship. No people, no text overlays.",GENERATED
halifax-series,Halifax Series,2,halifax-series-gen-2.jpg,https://v3b.fal.media/files/b/0a97b283/3XbC2d6zvXh3SmQk3k3uh.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/halifax-series-gen-2.jpg,Halifax Series - Studio White,"Professional product photography of Halifax Series on a clean white studio background, crisp even lighting, slight drop shadow, commercial catalogue style. No people, no text overlays.",GENERATED
halifax-series,Halifax Series,3,halifax-series-gen-3.jpg,https://v3b.fal.media/files/b/0a97b283/eoLBCsBVqZcQFKrCWT0YU.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/halifax-series-gen-3.jpg,Halifax Series - Office Setting,"Halifax Series in a bright modern Canadian open-plan office environment, warm natural window light, contemporary neutral decor. No people, no text overlays.",GENERATED
halifax-series,Halifax Series,4,halifax-series-gen-4.jpg,https://v3b.fal.media/files/b/0a97b283/Xks_bZWWrGY1j_zDsZqgK.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/halifax-series-gen-4.jpg,Halifax Series - Detail Close-Up,"Close-up detail shot of Halifax Series, shallow depth of field, editorial style, studio lighting, emphasis on material texture and craftsmanship. No people, no text overlays.",GENERATED
gardex-fireproof-lateral-file-2-3-4-drawer,"Gardex Fireproof Lateral File ( 2, 3 & 4 Drawer)",2,gardex-fireproof-lateral-file-2-3-4-drawer-gen-2.jpg,https://v3b.fal.media/files/b/0a97b283/VRvz6-Sc3N_3YUgWPXNM3.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/gardex-fireproof-lateral-file-2-3-4-drawer-gen-2.jpg,"Gardex Fireproof Lateral File ( 2, 3 & 4 Drawer) - Studio White","Professional product photography of Gardex Fireproof Lateral File ( 2, 3 & 4 Drawer) on a clean white studio background, crisp even lighting, slight drop shadow, commercial catalogue style. No people, no text overlays.",GENERATED
gardex-fireproof-lateral-file-2-3-4-drawer,"Gardex Fireproof Lateral File ( 2, 3 & 4 Drawer)",3,gardex-fireproof-lateral-file-2-3-4-drawer-gen-3.jpg,https://v3b.fal.media/files/b/0a97b283/IaFh98_RdZuRvXZHqWy2I.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/gardex-fireproof-lateral-file-2-3-4-drawer-gen-3.jpg,"Gardex Fireproof Lateral File ( 2, 3 & 4 Drawer) - Office Setting","Gardex Fireproof Lateral File ( 2, 3 & 4 Drawer) in a bright modern Canadian open-plan office environment, warm natural window light, contemporary neutral decor. No people, no text overlays.",GENERATED
gardex-fireproof-lateral-file-2-3-4-drawer,"Gardex Fireproof Lateral File ( 2, 3 & 4 Drawer)",4,gardex-fireproof-lateral-file-2-3-4-drawer-gen-4.jpg,https://v3b.fal.media/files/b/0a97b284/0AwGhx6zQC56tYnqLFxRh.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/gardex-fireproof-lateral-file-2-3-4-drawer-gen-4.jpg,"Gardex Fireproof Lateral File ( 2, 3 & 4 Drawer) - Detail Close-Up","Close-up detail shot of Gardex Fireproof Lateral File ( 2, 3 & 4 Drawer), shallow depth of field, editorial style, studio lighting, emphasis on material texture and craftsmanship. No people, no text overlays.",GENERATED
halifax-executive-suite,Halifax Executive Suite,2,halifax-executive-suite-gen-2.jpg,https://v3b.fal.media/files/b/0a97b284/6FJUbm8hrMEd5t77A0xfF.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/halifax-executive-suite-gen-2.jpg,Halifax Executive Suite - Studio White,"Professional product photography of Halifax Executive Suite on a clean white studio background, crisp even lighting, slight drop shadow, commercial catalogue style. No people, no text overlays.",GENERATED
halifax-executive-suite,Halifax Executive Suite,3,halifax-executive-suite-gen-3.jpg,https://v3b.fal.media/files/b/0a97b284/8alrf7eLY1juVBxGztPQB.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/halifax-executive-suite-gen-3.jpg,Halifax Executive Suite - Office Setting,"Halifax Executive Suite in a bright modern Canadian open-plan office environment, warm natural window light, contemporary neutral decor. No people, no text overlays.",GENERATED
halifax-executive-suite,Halifax Executive Suite,4,halifax-executive-suite-gen-4.jpg,https://v3b.fal.media/files/b/0a97b284/LTvM_hwGSxp_GY0UIKSHR.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/halifax-executive-suite-gen-4.jpg,Halifax Executive Suite - Detail Close-Up,"Close-up detail shot of Halifax Executive Suite, shallow depth of field, editorial style, studio lighting, emphasis on material texture and craftsmanship. No people, no text overlays.",GENERATED
circular-reception-unit-w-41-r,Circular Reception Unit W-41-R,2,circular-reception-unit-w-41-r-gen-2.jpg,https://v3b.fal.media/files/b/0a97b284/0F0qbbs2qH5OO5qkROcJN.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/circular-reception-unit-w-41-r-gen-2.jpg,Circular Reception Unit W-41-R - Studio White,"Professional product photography of Circular Reception Unit W-41-R on a clean white studio background, crisp even lighting, slight drop shadow, commercial catalogue style. No people, no text overlays.",GENERATED
circular-reception-unit-w-41-r,Circular Reception Unit W-41-R,3,circular-reception-unit-w-41-r-gen-3.jpg,https://v3b.fal.media/files/b/0a97b285/xOrV-vB61XhCfdhf1OMhT.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/circular-reception-unit-w-41-r-gen-3.jpg,Circular Reception Unit W-41-R - Office Setting,"Circular Reception Unit W-41-R in a bright modern Canadian open-plan office environment, warm natural window light, contemporary neutral decor. No people, no text overlays.",GENERATED
circular-reception-unit-w-41-r,Circular Reception Unit W-41-R,4,circular-reception-unit-w-41-r-gen-4.jpg,https://v3b.fal.media/files/b/0a97b285/DLrXTBtCzdN4bomOHFiNR.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/circular-reception-unit-w-41-r-gen-4.jpg,Circular Reception Unit W-41-R - Detail Close-Up,"Close-up detail shot of Circular Reception Unit W-41-R, shallow depth of field, editorial style, studio lighting, emphasis on material texture and craftsmanship. No people, no text overlays.",GENERATED
4-person-workstation,4 Person Workstation,2,4-person-workstation-gen-2.jpg,https://v3b.fal.media/files/b/0a97b285/9hXfPHsMmWxggkEnfwbMV.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/4-person-workstation-gen-2.jpg,4 Person Workstation - Studio White,"Professional product photography of 4 Person Workstation on a clean white studio background, crisp even lighting, slight drop shadow, commercial catalogue style. No people, no text overlays.",GENERATED
4-person-workstation,4 Person Workstation,3,4-person-workstation-gen-3.jpg,https://v3b.fal.media/files/b/0a97b285/D4PbjxXRUpSA2Nu0ThabD.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/4-person-workstation-gen-3.jpg,4 Person Workstation - Office Setting,"4 Person Workstation in a bright modern Canadian open-plan office environment, warm natural window light, contemporary neutral decor. No people, no text overlays.",GENERATED
4-person-workstation,4 Person Workstation,4,4-person-workstation-gen-4.jpg,https://v3b.fal.media/files/b/0a97b285/4pZ_Yov9cfxOGCBWBfsCV.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/4-person-workstation-gen-4.jpg,4 Person Workstation - Detail Close-Up,"Close-up detail shot of 4 Person Workstation, shallow depth of field, editorial style, studio lighting, emphasis on material texture and craftsmanship. No people, no text overlays.",GENERATED
fellowes-array-ceiling-ac2-air-purifier,Fellowes Array® Ceiling AC2 Air Purifier,2,fellowes-array-ceiling-ac2-air-purifier-gen-2.jpg,https://v3b.fal.media/files/b/0a97b286/M-P5CcVOvQinnyt0HQJUp.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/fellowes-array-ceiling-ac2-air-purifier-gen-2.jpg,Fellowes Array® Ceiling AC2 Air Purifier - Studio White,"Professional product photography of Fellowes Array® Ceiling AC2 Air Purifier on a clean white studio background, crisp even lighting, slight drop shadow, commercial catalogue style. No people, no text overlays.",GENERATED
fellowes-array-ceiling-ac2-air-purifier,Fellowes Array® Ceiling AC2 Air Purifier,3,fellowes-array-ceiling-ac2-air-purifier-gen-3.jpg,https://v3b.fal.media/files/b/0a97b286/Z4kWKx7K_XnfXu8JZDTso.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/fellowes-array-ceiling-ac2-air-purifier-gen-3.jpg,Fellowes Array® Ceiling AC2 Air Purifier - Office Setting,"Fellowes Array® Ceiling AC2 Air Purifier in a bright modern Canadian open-plan office environment, warm natural window light, contemporary neutral decor. No people, no text overlays.",GENERATED
fellowes-array-ceiling-ac2-air-purifier,Fellowes Array® Ceiling AC2 Air Purifier,4,fellowes-array-ceiling-ac2-air-purifier-gen-4.jpg,https://v3b.fal.media/files/b/0a97b286/nPWlrsukTWB2gvdt5Asvd.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/fellowes-array-ceiling-ac2-air-purifier-gen-4.jpg,Fellowes Array® Ceiling AC2 Air Purifier - Detail Close-Up,"Close-up detail shot of Fellowes Array® Ceiling AC2 Air Purifier, shallow depth of field, editorial style, studio lighting, emphasis on material texture and craftsmanship. No people, no text overlays.",GENERATED
fellowes-array-recess-ar-air-purifier-1,Fellowes Array™ Recess AR Air Purifier,2,fellowes-array-recess-ar-air-purifier-1-gen-2.jpg,https://v3b.fal.media/files/b/0a97b286/4WfyVNu8pUgeU9kVhCpKn.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/fellowes-array-recess-ar-air-purifier-1-gen-2.jpg,Fellowes Array™ Recess AR Air Purifier - Studio White,"Professional product photography of Fellowes Array™ Recess AR Air Purifier on a clean white studio background, crisp even lighting, slight drop shadow, commercial catalogue style. No people, no text overlays.",GENERATED
fellowes-array-recess-ar-air-purifier-1,Fellowes Array™ Recess AR Air Purifier,3,fellowes-array-recess-ar-air-purifier-1-gen-3.jpg,https://v3b.fal.media/files/b/0a97b286/egAqkIoXm7tNkGPdFrP2Z.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/fellowes-array-recess-ar-air-purifier-1-gen-3.jpg,Fellowes Array™ Recess AR Air Purifier - Office Setting,"Fellowes Array™ Recess AR Air Purifier in a bright modern Canadian open-plan office environment, warm natural window light, contemporary neutral decor. No people, no text overlays.",GENERATED
fellowes-array-recess-ar-air-purifier-1,Fellowes Array™ Recess AR Air Purifier,4,fellowes-array-recess-ar-air-purifier-1-gen-4.jpg,https://v3b.fal.media/files/b/0a97b286/SITOVycdD_07oo5p7jUh5.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/fellowes-array-recess-ar-air-purifier-1-gen-4.jpg,Fellowes Array™ Recess AR Air Purifier - Detail Close-Up,"Close-up detail shot of Fellowes Array™ Recess AR Air Purifier, shallow depth of field, editorial style, studio lighting, emphasis on material texture and craftsmanship. No people, no text overlays.",GENERATED
the-foster-recliner,The Foster Recliner,2,the-foster-recliner-gen-2.jpg,https://v3b.fal.media/files/b/0a97b287/hPNXQUe5q2wYsOwDGFF0e.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/the-foster-recliner-gen-2.jpg,The Foster Recliner - Studio White,"Professional product photography of The Foster Recliner on a clean white studio background, crisp even lighting, slight drop shadow, commercial catalogue style. No people, no text overlays.",GENERATED
the-foster-recliner,The Foster Recliner,3,the-foster-recliner-gen-3.jpg,https://v3b.fal.media/files/b/0a97b287/uR1Vcy720_h2Bm0oQ3c0E.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/the-foster-recliner-gen-3.jpg,The Foster Recliner - Office Setting,"The Foster Recliner in a bright modern Canadian open-plan office environment, warm natural window light, contemporary neutral decor. No people, no text overlays.",GENERATED
the-foster-recliner,The Foster Recliner,4,the-foster-recliner-gen-4.jpg,https://v3b.fal.media/files/b/0a97b287/g4r5vo9eYFVOBlDXRQbTV.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/the-foster-recliner-gen-4.jpg,The Foster Recliner - Detail Close-Up,"Close-up detail shot of The Foster Recliner, shallow depth of field, editorial style, studio lighting, emphasis on material texture and craftsmanship. No people, no text overlays.",GENERATED
partitions-66-high-6-offices,"Partitions 66"" High 6 Offices",2,partitions-66-high-6-offices-gen-2.jpg,https://v3b.fal.media/files/b/0a97b287/DGl3qTqJynwV6psne0Bhu.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/partitions-66-high-6-offices-gen-2.jpg,"Partitions 66"" High 6 Offices - Studio White","Professional product photography of Partitions 66"" High 6 Offices on a clean white studio background, crisp even lighting, slight drop shadow, commercial catalogue style. No people, no text overlays.",GENERATED
partitions-66-high-6-offices,"Partitions 66"" High 6 Offices",3,partitions-66-high-6-offices-gen-3.jpg,https://v3b.fal.media/files/b/0a97b288/ugKcCREU3rb7Fk0Y5kRDk.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/partitions-66-high-6-offices-gen-3.jpg,"Partitions 66"" High 6 Offices - Office Setting","Partitions 66"" High 6 Offices in a bright modern Canadian open-plan office environment, warm natural window light, contemporary neutral decor. No people, no text overlays.",GENERATED
partitions-66-high-6-offices,"Partitions 66"" High 6 Offices",4,partitions-66-high-6-offices-gen-4.jpg,https://v3b.fal.media/files/b/0a97b288/dU5ENOhEXnxLMb12VyRzM.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/partitions-66-high-6-offices-gen-4.jpg,"Partitions 66"" High 6 Offices - Detail Close-Up","Close-up detail shot of Partitions 66"" High 6 Offices, shallow depth of field, editorial style, studio lighting, emphasis on material texture and craftsmanship. No people, no text overlays.",GENERATED
screenflex-room-dividers,Screenflex Room Dividers,2,screenflex-room-dividers-gen-2.jpg,https://v3b.fal.media/files/b/0a97b288/9rkVt3ognVoH3tNqkqQfM.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/screenflex-room-dividers-gen-2.jpg,Screenflex Room Dividers - Studio White,"Professional product photography of Screenflex Room Dividers on a clean white studio background, crisp even lighting, slight drop shadow, commercial catalogue style. No people, no text overlays.",GENERATED
screenflex-room-dividers,Screenflex Room Dividers,3,screenflex-room-dividers-gen-3.jpg,https://v3b.fal.media/files/b/0a97b288/yGWoe7GGqzLXlJRA3Io22.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/screenflex-room-dividers-gen-3.jpg,Screenflex Room Dividers - Office Setting,"Screenflex Room Dividers in a bright modern Canadian open-plan office environment, warm natural window light, contemporary neutral decor. No people, no text overlays.",GENERATED
screenflex-room-dividers,Screenflex Room Dividers,4,screenflex-room-dividers-gen-4.jpg,https://v3b.fal.media/files/b/0a97b288/WV6IZY2GtiYcybjlpCYgS.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/screenflex-room-dividers-gen-4.jpg,Screenflex Room Dividers - Detail Close-Up,"Close-up detail shot of Screenflex Room Dividers, shallow depth of field, editorial style, studio lighting, emphasis on material texture and craftsmanship. No people, no text overlays.",GENERATED
fellowes-array-wall-stand-air-purification,Fellowes Array Wall & Stand Air Purification,2,fellowes-array-wall-stand-air-purification-gen-2.jpg,https://v3b.fal.media/files/b/0a97b288/WlLvFGCWPaP0bMfzcAKGw.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/fellowes-array-wall-stand-air-purification-gen-2.jpg,Fellowes Array Wall & Stand Air Purification - Studio White,"Professional product photography of Fellowes Array Wall & Stand Air Purification on a clean white studio background, crisp even lighting, slight drop shadow, commercial catalogue style. No people, no text overlays.",GENERATED
fellowes-array-wall-stand-air-purification,Fellowes Array Wall & Stand Air Purification,3,fellowes-array-wall-stand-air-purification-gen-3.jpg,https://v3b.fal.media/files/b/0a97b289/LBEtrgHgXqs6QbAffl78k.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/fellowes-array-wall-stand-air-purification-gen-3.jpg,Fellowes Array Wall & Stand Air Purification - Office Setting,"Fellowes Array Wall & Stand Air Purification in a bright modern Canadian open-plan office environment, warm natural window light, contemporary neutral decor. No people, no text overlays.",GENERATED
fellowes-array-wall-stand-air-purification,Fellowes Array Wall & Stand Air Purification,4,fellowes-array-wall-stand-air-purification-gen-4.jpg,https://v3b.fal.media/files/b/0a97b289/a9Kl5ZgNmXWMReKoYDGxu.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/fellowes-array-wall-stand-air-purification-gen-4.jpg,Fellowes Array Wall & Stand Air Purification - Detail Close-Up,"Close-up detail shot of Fellowes Array Wall & Stand Air Purification, shallow depth of field, editorial style, studio lighting, emphasis on material texture and craftsmanship. No people, no text overlays.",GENERATED
drafting-table,Drafting Table,2,drafting-table-gen-2.jpg,https://v3b.fal.media/files/b/0a97b289/pla6g93Yo88sogyezcwRD.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/drafting-table-gen-2.jpg,Drafting Table - Studio White,"Professional product photography of Drafting Table on a clean white studio background, crisp even lighting, slight drop shadow, commercial catalogue style. No people, no text overlays.",GENERATED
drafting-table,Drafting Table,3,drafting-table-gen-3.jpg,https://v3b.fal.media/files/b/0a97b289/U64me90Y-rRUFJltiGEG9.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/drafting-table-gen-3.jpg,Drafting Table - Office Setting,"Drafting Table in a bright modern Canadian open-plan office environment, warm natural window light, contemporary neutral decor. No people, no text overlays.",GENERATED
drafting-table,Drafting Table,4,drafting-table-gen-4.jpg,https://v3b.fal.media/files/b/0a97b289/HMIgIPxGifPfJHj6dkpVA.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/drafting-table-gen-4.jpg,Drafting Table - Detail Close-Up,"Close-up detail shot of Drafting Table, shallow depth of field, editorial style, studio lighting, emphasis on material texture and craftsmanship. No people, no text overlays.",GENERATED
medicine-wheel-table-indigenous,Medicine Wheel Table Indigenous,2,medicine-wheel-table-indigenous-gen-2.jpg,https://v3b.fal.media/files/b/0a97b28a/BYmRkiQdh8IP-SK-Qv1hY.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/medicine-wheel-table-indigenous-gen-2.jpg,Medicine Wheel Table Indigenous - Studio White,"Professional product photography of Medicine Wheel Table Indigenous on a clean white studio background, crisp even lighting, slight drop shadow, commercial catalogue style. No people, no text overlays.",GENERATED
medicine-wheel-table-indigenous,Medicine Wheel Table Indigenous,3,medicine-wheel-table-indigenous-gen-3.jpg,https://v3b.fal.media/files/b/0a97b28a/V17-2MzOnWhgniF1FBsen.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/medicine-wheel-table-indigenous-gen-3.jpg,Medicine Wheel Table Indigenous - Office Setting,"Medicine Wheel Table Indigenous in a bright modern Canadian open-plan office environment, warm natural window light, contemporary neutral decor. No people, no text overlays.",GENERATED
medicine-wheel-table-indigenous,Medicine Wheel Table Indigenous,4,medicine-wheel-table-indigenous-gen-4.jpg,https://v3b.fal.media/files/b/0a97b28a/6BBe5ZklltcBdHC2KLu3S.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/medicine-wheel-table-indigenous-gen-4.jpg,Medicine Wheel Table Indigenous - Detail Close-Up,"Close-up detail shot of Medicine Wheel Table Indigenous, shallow depth of field, editorial style, studio lighting, emphasis on material texture and craftsmanship. No people, no text overlays.",GENERATED
vertical-fireproof-cabinets-2-3-4-drawer,"Vertical Fireproof Cabinets (2, 3 & 4 Drawer)",2,vertical-fireproof-cabinets-2-3-4-drawer-gen-2.jpg,https://v3b.fal.media/files/b/0a97b28a/IqXrsbfLBgpqP8VMi71gf.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/vertical-fireproof-cabinets-2-3-4-drawer-gen-2.jpg,"Vertical Fireproof Cabinets (2, 3 & 4 Drawer) - Studio White","Professional product photography of Vertical Fireproof Cabinets (2, 3 & 4 Drawer) on a clean white studio background, crisp even lighting, slight drop shadow, commercial catalogue style. No people, no text overlays.",GENERATED
vertical-fireproof-cabinets-2-3-4-drawer,"Vertical Fireproof Cabinets (2, 3 & 4 Drawer)",3,vertical-fireproof-cabinets-2-3-4-drawer-gen-3.jpg,https://v3b.fal.media/files/b/0a97b28a/fDBjkYAmQcRK6oI08rIC9.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/vertical-fireproof-cabinets-2-3-4-drawer-gen-3.jpg,"Vertical Fireproof Cabinets (2, 3 & 4 Drawer) - Office Setting","Vertical Fireproof Cabinets (2, 3 & 4 Drawer) in a bright modern Canadian open-plan office environment, warm natural window light, contemporary neutral decor. No people, no text overlays.",GENERATED
vertical-fireproof-cabinets-2-3-4-drawer,"Vertical Fireproof Cabinets (2, 3 & 4 Drawer)",4,vertical-fireproof-cabinets-2-3-4-drawer-gen-4.jpg,https://v3b.fal.media/files/b/0a97b28b/1cBIw96sTZ4zauQWv3Hcu.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/vertical-fireproof-cabinets-2-3-4-drawer-gen-4.jpg,"Vertical Fireproof Cabinets (2, 3 & 4 Drawer) - Detail Close-Up","Close-up detail shot of Vertical Fireproof Cabinets (2, 3 & 4 Drawer), shallow depth of field, editorial style, studio lighting, emphasis on material texture and craftsmanship. No people, no text overlays.",GENERATED
soft-pods,Soft Pods,2,soft-pods-gen-2.jpg,https://v3b.fal.media/files/b/0a97b28b/heMd5_4QRd7185zGoZ8Ir.jpg,/Users/leokatz/Desktop/Office Central/data/generated-clean-images/soft-pods-gen-2.jpg,Soft Pods - Studio White,"Professional product photography of Soft Pods on a clean white studio background, crisp even lighting, slight drop shadow, commercial catalogue style. No people, no text overlays.",GENERATED
