classification,group,handle,title,current_sku,current_vendor,conflicting_evidence,candidate_manufacturer,steve_real_manufacturer
NON-BBI-CONFLICT,decodable-but-uncertain,auditorium-lecture-hall-seating,Auditorium / Lecture Hall Seating,BORGO,Borgo,SKU prefix=BORGO | specs.manufacturer=Global Furniture Group | tag=brand:borgo | specs.manufacturer->Global Furniture Group,Global Furniture Group,
NON-BBI-CONFLICT,decodable-but-uncertain,height-adjustable-base-pneumatic,Height adjustable base pneumatic (top sold separately),RIC- 500788530,Uline,SKU prefix=RIC | specs.manufacturer=Uline | tag=brand:uline | SKU prefix RIC->Richelieu (single-mfr),Richelieu,
NON-BBI-CONFLICT,decodable-but-uncertain,nesting-training-table-8-colour-choices,Nesting Training Table (8 Colour Choices),OSP-84224,Office Star Products,SKU prefix=OSP | specs.manufacturer=OTG / Offices to Go (Newland Training Tables) — likely | tag=brand:office-star-products | specs.manufacturer->OTG / Offices to Go,OTG / Offices to Go,
NON-BBI-CONFLICT,decodable-but-uncertain,pedestal-file-file-with-or-without-wheels,Pedestal - file/file (with or without wheels),GLBMVLM23FF,Heartwood Manufacturing,SKU prefix=GLBMVLM | specs.manufacturer=Heartwood Manufacturing Ltd. | tag=brand:heartwood-manufacturing | Global-family prefix GLBMVLM->Global Furniture Group (parent manufacturer),Global Furniture Group,
NON-BBI-CONFLICT,decodable-but-uncertain,willow-bariatric-chair,Willow bariatric chair,"GLB-W530AUU, 02NS, 39WFA",Lesro Industries,SKU prefix=GLB | specs.manufacturer=Lesro Industries | tag=brand:lesro-industries | Global-family prefix GLB->Global Furniture Group (parent manufacturer),Global Furniture Group,
AMBIGUOUS,decodable-but-uncertain,120-medicine-wheel-ottomans,"120"" Medicine Wheel Ottomans",MTB-JSMED.18,Office Central & Brant Business Interiors,SKU prefix=MTB | no resolving signal; prefix=MTB,,
AMBIGUOUS,decodable-but-uncertain,makerspace-tables,Makerspace tables,DIVERSIFIEDAFT48305,Brant Business Interiors,SKU prefix=DIVERSIFIEDAFT | no resolving signal; prefix=DIVERSIFIEDAFT,,
AMBIGUOUS,decodable-but-uncertain,manual-height-adjustable-table,Manual height adjustable table,HTM3058T/KEZLIFT,Brant Business Interiors,SKU prefix=HTM | no resolving signal; prefix=HTM,,
AMBIGUOUS,decodable-but-uncertain,oci-platinum-monitor-arms,Oci platinum monitor arms,ERGOACCESS-LR72-927B-G1,Brant Business Interiors,SKU prefix=ERGOACCESS | no resolving signal; prefix=ERGOACCESS,,
AMBIGUOUS,decodable-but-uncertain,planter,Planter,BEL-HFP154829-GVS,Brant Business Interiors,SKU prefix=BEL | tag=brand:brant-business-interiors | no resolving signal; prefix=BEL,,
AMBIGUOUS,decodable-but-uncertain,recycled-plastic-picnic-tables,Recycled plastic picnic tables,scn-nd426,Brant Business Interiors,SKU prefix=SCN | no resolving signal; prefix=SCN,,
AMBIGUOUS,decodable-but-uncertain,round-table-29-high-8-colours,"Round table 29"" high (8 colours) — 8 colours",INV900-SQB20-BLK R30,Brant Business Interiors,SKU prefix=INV | no resolving signal; prefix=INV,,
AMBIGUOUS,decodable-but-uncertain,screenflex-room-dividers,Screenflex room dividers,GLI T9AB226455,Brant Business Interiors,SKU prefix=GLI | no resolving signal; prefix=GLI,,
AMBIGUOUS,decodable-but-uncertain,soft-pods,Soft pods,Soft Pods-1,Brant Business Interiors,SKU prefix=SOFT | no resolving signal; prefix=SOFT,,
AMBIGUOUS,decodable-but-uncertain,sonoma,Sonoma,Sanoma,Brant Business Interiors,SKU prefix=SANOMA | no resolving signal; prefix=SANOMA,,
AMBIGUOUS,decodable-but-uncertain,sphere-power,Sphere power,SP22104P030,Brant Business Interiors,SKU prefix=SP | no resolving signal; prefix=SP,,
AMBIGUOUS,decodable-but-uncertain,stacking-chair-popcorn-6711,Stacking chair popcorn — 6711,6621,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,decodable-but-uncertain,stacking-chair-sonic-6508,Stacking chair sonic — 6508,6508,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,decodable-but-uncertain,storage-right-ff-sc-left-wardrobe,Storage / right ff & sc / left wardrobe,UN3072FF/SC/WD/21,Brant Business Interiors,SKU prefix=UN | no resolving signal; prefix=UN,,
AMBIGUOUS,decodable-but-uncertain,supra-x-chair-1,Supra x chair,5333-3,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,decodable-but-uncertain,table-desk-13-colour-options,Table desk 13 colour options — 13 colour,NLP224 WCR,Brant Business Interiors,SKU prefix=NLP | no resolving signal; prefix=NLP,,
AMBIGUOUS,decodable-but-uncertain,u-shape-d-top-workstation,U-shape d-top workstation,Asstd-see website,Brant Business Interiors,SKU prefix=ASSTD | no resolving signal; prefix=ASSTD,,
AMBIGUOUS,decodable-but-uncertain,u-shape-height-adjust-desk,U-shape height adjust desk,INNO-LAYOUT 67,Brant Business Interiors,SKU prefix=INNO | no resolving signal; prefix=INNO,,
AMBIGUOUS,no-SKU,agile-double-sided-8-pod-height-adjustable-shared-desk,Agile double sided 8-pod height adjustable shared desk,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,arm-caps-for-2330-chair,Arm caps for 2330 chair,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,boulevard-system-3,Boulevard system 3,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,caster-options,Caster options,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,ceiling-baffles-sound-acoustic-dampeners,Ceiling baffles sound acoustic dampeners,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,cluster-seating,Cluster seating 4,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,coat-tree,Coat tree,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,colour,Colour,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,custom-reception-unit-accessories,Custom reception unit & accessories,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,desk-l-shape-with-drawers,Desk l-shape with drawers,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,diet,Diet,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,dolly-for-sonic-chairs-6517ws,Dolly for sonic chairs — 6517WS,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,dual-monitor-arm,Dual monitor arm,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,electric-desk-riser-dual-monitor-arm,Electric desk riser + dual monitor arm,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,eor-guest-chair-mvl3920b,Eor guest chair — MVL3920B,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,evolve-workstations,Evolve workstations,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,factor-mesh-back-armchair-casters-5545amc-1,"Factor mesh back armchair, casters (5545amc) — 5545AMC",,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,felt-sound-dampeners,Felt sound dampeners,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,grommet-hole-cover,Grommet hole & cover,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,high-back-tilter-with-arms,High back tilter with arms,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,honor-roll-dsq-1824-pb-table-desk-square-leg-base-4-legs-x-24-table-top-width-x-18-table-top-depth-5-each,"Honor roll -dsq-1824-pb table desk - square leg base - 4 legs x 24"" table top wi",,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,keys-2-set,Keys 2/set,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,lateral-file-used-5-drawer-beige-nevada,Lateral file (used) 5 drawer beige nevada — 5 drawer,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,please-select-a-finish,Please select a Finish,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,please-select-a-finish-1,Please Select a Finish,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,pod-phone-booths,Pod phone booths,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,ryno-patio-furniture-waterproof-polyethylene,Ryno patio furniture waterproof polyethylene,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,screenflex-5-panel-mobile-light-duty-portable-room-divider-65h-x-95w-fabric-color-stone,"Screenflex 5 panel mobile light-duty portable room divider, 6'5""h x 9'5""w, fabri",,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,shoptech-099rx,Shoptech — 099RX,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,solid-steel-shelving-starter-set,"Solid steel shelving, starter set",,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,sonic-armchair-polypropylene-seat-back-6513,"Sonic armchair, polypropylene seat & back (6513) — 6513",,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,the-halifax-collection,The halifax collection,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,ultra-guest-chair,Ultra guest chair,,Brant Business Interiors,no resolving signal; prefix=(none),,
AMBIGUOUS,no-SKU,wave-high-back-synchro-tilter,Wave | High Back Synchro-Tilter,,Brant Business Interiors,no resolving signal; prefix=(none),,
