hub_handle,element,current_state,t3_expected,gap,notes
boardroom,cta_closer,".ds-cc__phone-cta inverse",".bbi-cta-section .scheme-inverse",change,
boardroom,footer,bbi-footer,".bbi-footer",none,
ergonomic-products,header,bbi-nav,".bbi-header",none,
ergonomic-products,breadcrumbs,bbi-crumbs (3-level),".cn-crumb-band",none,
ergonomic-products,intro_band,Hero H1+standfirst+1 CTA,H1+standfirst+brand count+warranty,change,GAP-A
ergonomic-products,hero_image,Image picker (blank),T3 text-only,change,
ergonomic-products,sub_category_filter,ABSENT,".cn-filter-bar",add (DEFER),0% tag coverage
ergonomic-products,product_grid,ABSENT — collection has 0 products (smart collection tag mismatch),".cn-product-grid",add (blocked),"RISK: collection empty — tags type:ergonomic etc. don't exist in catalog; only type:chairs/tables/desks/accessories/storage/lounge/outdoor exist. Must re-tag products before product grid can render."
ergonomic-products,tile_grid,4 tiles,NOT in T3,remove or convert,
ergonomic-products,brand_plates,1 brand_callout (ergoCentric) — no badges,8 brands with badges,change,GAP-E
ergonomic-products,pagination,ABSENT,".cn-pagination",add,
ergonomic-products,oecm_bar,ABSENT,Shared OECM bar,add,GAP-H
ergonomic-products,cta_closer,".ds-cc__phone-cta inverse",".bbi-cta-section .scheme-inverse",change,
ergonomic-products,footer,bbi-footer,".bbi-footer",none,
panels-room-dividers,header,bbi-nav,".bbi-header",none,
panels-room-dividers,breadcrumbs,bbi-crumbs (3-level),".cn-crumb-band",none,
panels-room-dividers,intro_band,Hero H1+standfirst+1 CTA,H1+standfirst+brand count+warranty,change,GAP-A
panels-room-dividers,hero_image,Image picker (blank),T3 text-only,change,
panels-room-dividers,sub_category_filter,ABSENT,".cn-filter-bar",add (DEFER),0% tag coverage
panels-room-dividers,product_grid,ABSENT — collection has 0 products (smart collection tag mismatch),".cn-product-grid",add (blocked),"RISK: tags type:panels / type:dividers / type:acoustic-panels don't exist; must re-tag"
panels-room-dividers,tile_grid,3 tiles,NOT in T3,remove or convert,
panels-room-dividers,brand_plates,1 brand_callout (Global/Teknion) — no badges,8 brands with badges,change,GAP-E
panels-room-dividers,pagination,ABSENT,".cn-pagination",add,
panels-room-dividers,oecm_bar,ABSENT,Shared OECM bar,add,GAP-H
panels-room-dividers,cta_closer,".ds-cc__phone-cta inverse",".bbi-cta-section .scheme-inverse",change,
panels-room-dividers,footer,bbi-footer,".bbi-footer",none,
accessories,header,bbi-nav,".bbi-header",none,
accessories,breadcrumbs,bbi-crumbs (3-level),".cn-crumb-band",none,
accessories,intro_band,Hero H1+standfirst+1 CTA,H1+standfirst+brand count+warranty,change,GAP-A
accessories,hero_image,Image picker (blank),T3 text-only,change,
accessories,sub_category_filter,ABSENT,".cn-filter-bar",add (DEFER),0% tag coverage
accessories,product_grid,ABSENT,".cn-product-grid",add,91 products
accessories,tile_grid,4 tiles,NOT in T3,remove or convert,
accessories,brand_plates,0 brand_callouts,8 brands with badges,add,GAP-E
accessories,pagination,ABSENT,".cn-pagination",add,
accessories,oecm_bar,ABSENT,Shared OECM bar,add,GAP-H
accessories,cta_closer,".ds-cc__phone-cta inverse",".bbi-cta-section .scheme-inverse",change,
accessories,footer,bbi-footer,".bbi-footer",none,
quiet-spaces,header,bbi-nav,".bbi-header",none,
quiet-spaces,breadcrumbs,bbi-crumbs (3-level),".cn-crumb-band",none,
quiet-spaces,intro_band,Hero H1+standfirst+1 CTA,H1+standfirst+brand count+warranty,change,GAP-A
quiet-spaces,hero_image,Image picker (blank),T3 text-only,change,
quiet-spaces,sub_category_filter,ABSENT,".cn-filter-bar",add (DEFER),0% tag coverage
quiet-spaces,product_grid,ABSENT — collection has 0 products (smart collection tag mismatch),".cn-product-grid",add (blocked),"RISK: tags type:acoustic-pods / type:phone-booths / type:focus-pods don't exist; must re-tag"
quiet-spaces,tile_grid,5 tiles,NOT in T3,remove or convert,
quiet-spaces,brand_plates,0 brand_callouts,8 brands with badges,add,GAP-E
quiet-spaces,pagination,ABSENT,".cn-pagination",add,
quiet-spaces,oecm_bar,ABSENT,Shared OECM bar,add,GAP-H
quiet-spaces,cta_closer,".ds-cc__phone-cta inverse",".bbi-cta-section .scheme-inverse",change,
quiet-spaces,footer,bbi-footer,".bbi-footer",none,
