handle,product_id,current_title,vendor,category,price,tier,action_default,oecm_eligible,current_desc_chars,current_desc_preview,enrich_action,draft_meta_title,draft_meta_title_chars,draft_meta_desc,draft_meta_desc_chars,draft_body_html,steve_approve,steve_notes
basics-preto-swivel-tilt-chair-1,9771509907769,Basics preto swivel tilt chair,Brant Business Interiors,chairs,169.99,A,keep,yes,163,Basics® Preto Swivel Tilt Chair   • Pneumatic seat height adjustment • Fixed Lumbar Support • Tilt tension adjustment • ,seo+expand,Basics preto swivel tilt chair | Brant Business Interiors,57,"Shop the Basics preto swivel tilt chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. C...",155,,,
beta-armless-posture-task-drafting-stool-mvl2718,9692248211769,Beta | armless posture task drafting stool — MVL2718,Brant Business Interiors,chairs,309.99,A,keep,yes,273,"Posture task mechanism   Infinite back angle and back height adjustment   Thick, soft cushions for enhanced comfort   He",seo+expand,Beta | armless posture task draft | Brant Business Interiors,60,"Shop the Beta | armless posture task drafting stool at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM...",155,,,
ibex-drafting-task-stool-mvl2808,9776147792185,Ibex drafting task stool — MVL2808,Global Furniture Group,chairs,599.99,A,keep,yes,210,• Pneumatic seat height adjustment • Seat range from 23” to 33” • Height adjustable arms with durable self-skinned ureth,seo+expand,Ibex drafting task stool | Brant Business Interiors,51,"Shop the Ibex drafting task stool at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call 1-...",155,,,
ibex-synchro-tilter-chairs-mvl2801,9771009016121,Ibex synchro-tilter chairs — MVL2801,Global Furniture Group,chairs,399.99,A,keep,yes,261,Pneumatic seat height adjustment • Seat range from 16-1/2” to 20-1/2” • Back tilts 2 degrees for every 1 degree the seat,seo+expand,Ibex synchro-tilter chairs | Brant Business Interiors,53,"Shop the Ibex synchro-tilter chairs at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call ...",155,,,
knight-lightweight-tilter-chair-otg11360,9771443061049,Knight lightweight tilter chair — OTG11360,Brant Business Interiors,chairs,279.99,A,keep,yes,145,Offices to Go® Knight Lightweight Tilter Chair • Upright tilt lock • Fixed loop arms • Dual wheel carpet casters • Mesh ,seo+expand,Knight lightweight tilter chair | Brant Business Interiors,58,"Shop the Knight lightweight tilter chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. ...",155,,,
mesh-chair-java-otg10902,10042763280697,Mesh chair java — OTG10902,Brant Business Interiors,chairs,249.99,A,keep,yes,292,OTG10902   Java | High Back Tilter     Tilter mechanism   Durable rear shroud   Upright position tilt lock   Tilt tensio,seo+expand,Mesh chair java | Brant Business Interiors,42,"Shop the Mesh chair java at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call 1-800-835-9...",155,,,
minto-low-back-stacking-armchair-mvl2747,9782575333689,Minto | low back stacking armchair — MVL2747,Brant Business Interiors,chairs,158.9,A,keep,yes,235,Minto | Low Back Stacking Armchair     Fully upholstered seat and back   Stacking armchair   Round tube steel frame   Po,seo+expand,Minto | low back stacking armchai | Brant Business Interiors,60,"Shop the Minto | low back stacking armchair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligibl...",155,,,
mvl2732-annapolis-high-back-luxhide-tilter,9816457904441,MVL2732 annapolis | high back luxhide tilter,Brant Business Interiors,chairs,219.99,A,keep,yes,246,MVL2732   Annapolis | High Back Luxhide Tilter     Tilter mechanism   Upright position tilt lock   Tilt tension adjustme,seo+expand,MVL2732 annapolis | high back lux | Brant Business Interiors,60,"Shop the MVL2732 annapolis | high back luxhide tilter at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OE...",155,,,
mvl2786-yoho-armless-low-back-task-chair,9938954748217,MVL2786 yoho | armless low back task chair,Brant Business Interiors,chairs,239.99,A,keep,yes,251,MVL2786   Yoho | Armless Low Back Task Chair     Low back task chair   Seat depth adjustment   Comfortable compound curv,seo+expand,MVL2786 yoho | armless low back t | Brant Business Interiors,60,"Shop the MVL2786 yoho | armless low back task chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM...",155,,,
obusforme-comfort-medium-back-chair-fabric-1241-3-copy,9840806887737,ObusForme Comfort medium back chair — 1241-3,ObusForme,chairs,645.99,A,keep,yes,259,"caps"" that articulate inwards 30 degrees.  Standard with a five legged, injection molded reinforced nylon black base. An",seo+expand,ObusForme Comfort medium back cha | Brant Business Interiors,60,"Shop the ObusForme Comfort medium back chair — 1241-3 at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OE...",155,,,
obusforme-comfort-medium-back-chair-fabric-1241-3-copy-1,9938997543225,ObusForme Comfort medium back chair 1261-3 schukra,ObusForme,chairs,749.99,A,keep,yes,296,"caps"" that articulate inwards 30 degrees.  Standard with a five legged, injection molded reinforced nylon black base. An",seo+expand,ObusForme Comfort medium back cha | Brant Business Interiors,60,"Shop the ObusForme Comfort medium back chair 1261-3 schukra at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutio...",155,,,
offices-to-go-ashmont-tilter-chair-1,9771586617657,Offices to Go ® ashmont tilter chair,Offices to Go,chairs,499.99,A,keep,yes,247,"• Deep, soft cushions on seat and back • Pneumatic seat height adjustment • Seat range from 16” to 20” • Upright positio",seo+expand,Offices to Go ® ashmont tilter ch | Brant Business Interiors,60,"Shop the Offices to Go ® ashmont tilter chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligi...",155,,,
otg3915-centro-guest-chair,9766199361849,OTG3915 centro guest chair,Brant Business Interiors,chairs,249.99,A,keep,yes,286,OTG3915   Centro | Guest Chair     Four-legged multi-purpose design   Generous proportions   Upholstered armcaps   Conto,seo+expand,OTG3915 centro guest chair | Brant Business Interiors,53,"Shop the OTG3915 centro guest chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call ...",155,,,
pacific-high-back-tilter,9747446432057,Pacific high back tilter — MVL11870,Brant Business Interiors,chairs,369.99,A,keep,yes,212,"Easily adjust the seat height to find your perfect position, reducing strain and promoting better posture   An adjustabl",seo+expand,Pacific high back tilter | Brant Business Interiors,51,"Shop the Pacific high back tilter at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call 1-...",155,,,
sparrow-otg10920-guest-chair,9747454427449,Sparrow OTG10920 guest chair,Brant Business Interiors,chairs,159.99,A,keep,yes,160,Offices to Go® Sparrow Guest Chair • Four leg steel base • Stacks 4 high on the floor • 18-1/2 lbs • 24”W x 21-1/2”D x 3,seo+expand,Sparrow OTG10920 guest chair | Brant Business Interiors,55,"Shop the Sparrow OTG10920 guest chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Cal...",155,,,
trent-tilter-chair-high-back-bonded-leather-2717-4,9747450822969,Trent tilter chair high back bonded leather — 2717-4,Brant Business Interiors,chairs,217.99,A,keep,yes,115,Trent Tilter Chair High Back Bonded Leather Luxhide Black    Pneumatic Seat Height   Tilt Tension   Fixed Loop Arms,seo+expand,Trent tilter chair high back bond | Brant Business Interiors,60,"Shop the Trent tilter chair high back bonded leather — 2717-4 at Brant Business Interiors — quality task seating for Ontario offices, clinics & institut...",155,,,
ultra-armless-high-back-tilter-mvl11732,9771602084153,Ultra | armless high back tilter — MVL11732,Brant Business Interiors,chairs,399.99,A,keep,yes,182,MVL11732     Tilter mechanism   Upright position tilt lock   Chrome base   Dual wheel carpet casters   Pneumatic seat he,seo+expand,Ultra | armless high back tilter | Brant Business Interiors,59,"Shop the Ultra | armless high back tilter at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible....",155,,,
ultra-medium-back-guest-chair-with-arms-mvl11742,10168477090105,Ultra | medium back guest chair with arms — MVL11742,Brant Business Interiors,chairs,447.99,A,keep,yes,231,MVL11742   Ultra | Medium Back Guest Chair with Arms     Cantilever style base   Welded steel frame with Chrome finish  ,seo+expand,Ultra | medium back guest chair w | Brant Business Interiors,60,"Shop the Ultra | medium back guest chair with arms at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-...",155,,,
zune-tilter-chair-black-fabric-seat-plastic-mesh-back-medium-back-otg11751b,9747452592441,"Zune tilter chair - black fabric seat - plastic, mesh back - medium back — OTG11751B",Brant Business Interiors,chairs,239.99,A,keep,yes,197,"Mesh, plastic back shroud with modern slat design. Thickly padded, upholstered seat with air mesh fabric and bonded leat",seo+expand,Zune tilter chair - black fabric | Brant Business Interiors,59,"Shop the Zune tilter chair - black fabric seat - plastic, mesh back - medium back at Brant Business Interiors — quality task seating for Ontario offices...",155,,,
bookcase,9698682044729,Bookcase,Brant Business Interiors,storage,269.99,A,keep,yes,153,"Features2 fixed shelf      1 adjustable shelf   1"" construction   Optional bookcase door set (INV-32BKDRS - includes sof",seo+expand,Bookcase | Brant Business Interiors,35,Shop the Bookcase at Brant Business Interiors — commercial-grade filing & storage for Ontario offices. OECM-eligible. Call 1-800-835-9565.,138,,,
bookcase-with-closed-lower-storage,9788108833081,Bookcase with closed lower storage,Brant Business Interiors,storage,449.99,A,keep,yes,115,Made in Canada     10 Size options   Lock included   Arrives Assembled   Many colour choices     Lead Time: 4 Weeks,seo+expand,Bookcase with closed lower storag | Brant Business Interiors,60,Shop the Bookcase with closed lower storage at Brant Business Interiors — commercial-grade filing & storage for Ontario offices. OECM-eligible. Call 1-8...,155,,,
heartwood-mobile-pedestal-bf,9800572797241,Heartwood mobile pedestal bf,Heartwood Manufacturing,storage,399.99,A,keep,yes,137,Features     full carton   box/file   all drawers lock   includes pencil tray   heavy duty casters - additional weight c,seo+expand,Heartwood mobile pedestal bf | Brant Business Interiors,55,Shop the Heartwood mobile pedestal bf at Brant Business Interiors — commercial-grade filing & storage for Ontario offices. OECM-eligible. Call 1-800-835...,155,,,
mobile-drawer-unit-with-locks-inv-mpuf,9716463075641,Mobile drawer unit with locks inv-mpuf,Brant Business Interiors,storage,499.99,A,keep,yes,180,MOBILE PEDESTAL - FULL CARTON   BOX / BOX / FILE. ALL DRAWERS LOCK.    INCLUDES PENCIL TRAY. LOCKING CASTERS.   Width: 1,seo+expand,Mobile drawer unit with locks inv | Brant Business Interiors,60,Shop the Mobile drawer unit with locks inv-mpuf at Brant Business Interiors — commercial-grade filing & storage for Ontario offices. OECM-eligible. Call...,155,,,
newland-bookcases-assembled,9782648176953,Newland bookcases (assembled),Offices to Go,storage,399.99,A,keep,yes,268,"Thermally fused laminate   One fixed shelf, 3 adjustable shelves   1"" thick top and end gables   Matching back panel   F",seo+expand,Newland bookcases (assembled) | Brant Business Interiors,56,Shop the Newland bookcases (assembled) at Brant Business Interiors — commercial-grade filing & storage for Ontario offices. OECM-eligible. Call 1-800-83...,155,,,
wardrobe-storage-cabinet-htwlevsr7218,9855836586297,Wardrobe / storage cabinet — HTWLEVSR7218,Brant Business Interiors,storage,629.99,A,keep,yes,242,"Wardrobe / Storage Cabinet  17.75"" W x 23.75"" D x 71.5"" H  Cabinet door installation is optional   Reversible door insta",seo+expand,Wardrobe / storage cabinet | Brant Business Interiors,53,Shop the Wardrobe / storage cabinet at Brant Business Interiors — commercial-grade filing & storage for Ontario offices. OECM-eligible. Call 1-800-835-9...,155,,,
round-table-42,10132451787065,Round table — 42,Brant Business Interiors,tables,449.0,A,keep,yes,87,"Round table with an X-Base   Available in 8 colours   1"" Thick top and base   42"" Round",seo+expand,Round table — 42 | Brant Business Interiors,43,The Round table — 42 available at Brant Business Interiors. Conference & training tables for Ontario institutions. OECM-eligible. Call 1-800-835-9565.,150,,,
otg-mobile-foot-kit-pack-of-2,9665643315513,Otg | mobile foot kit - pack of 2,Brant Business Interiors,accessories,169.99,B,keep,yes,185,OTG | Mobile Foot Kit - Pack of 2     Sold & Priced in pairs   Use to create a mobile divider   Black dual wheel locking,seo+expand,Otg | mobile foot kit - pack of 2 | Brant Business Interiors,60,The Otg | mobile foot kit - pack of 2 from Brant Business Interiors — office accessories for Ontario workplaces. OECM-eligible supplier. Call 1-800-835-...,155,,,
shoptech-097-pc1000,9754633077049,Shoptech 097– — PC1000,Brant Business Interiors,uncategorized,394.0,B,keep,yes,200,Features     Height adjustable gas lift action   Seat and backrest covered in hardwearing vinyl upholstery   Standard pr,seo+expand,Shoptech 097– | Brant Business Interiors,40,Shop the Shoptech 097– at Brant Business Interiors — commercial office furniture for Ontario institutions. OECM-eligible. Call 1-800-835-9565.,142,,,
shoptech-2500-pc550,9754656440633,Shoptech 2500– — PC550,Brant Business Interiors,uncategorized,299.99,B,keep,yes,266,Features     Height adjustable gas lift action   Seat covered in hardwearing cushioned polyurethane   Standard with prem,seo+expand,Shoptech 2500– | Brant Business Interiors,41,Shop the Shoptech 2500– at Brant Business Interiors — commercial office furniture for Ontario institutions. OECM-eligible. Call 1-800-835-9565.,143,,,
planter,9753608388921,Planter,Brant Business Interiors,accessories,1399.99,C,archive-duplicate,yes,227,"Made in Canada, this new planter is available in several sizes and colours.    PLease contact us for other colour & size",seo+expand,Planter | Brant Business Interiors,34,The Planter from Brant Business Interiors — office accessories for Ontario workplaces. OECM-eligible supplier. Call 1-800-835-9565.,131,,,
adapt-high-back-synchro-tilter-mvl11725,9771322507577,Adapt | high back synchro-tilter — MVL11725,Brant Business Interiors,chairs,399.99,C,archive-duplicate,yes,205,"Loop Arms   Black frame with a Black 5-prong, injection molded, fiberglass reinforced nylon base with dual wheel carpet ",seo+expand,Adapt | high back synchro-tilter | Brant Business Interiors,59,"Shop the Adapt | high back synchro-tilter at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible....",155,,,
factor-mesh-seating-stool,9721986154809,Factor mesh seating stool,Brant Business Interiors,chairs,599.99,C,archive-duplicate,yes,125,Mesh Back Ergo Stool     Arms: Non Height Adjustable   Mechanism: Task Basic Swivel   Dimensions: W26.50 x D23.50 x H49.,seo+expand,Factor mesh seating stool | Brant Business Interiors,52,"Shop the Factor mesh seating stool at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call 1...",155,,,
low-back-stacking-chair-mvl2747,9982116069689,Low back stacking chair — MVL2747,Brant Business Interiors,chairs,159.99,C,archive-duplicate,yes,120,MVL2748   Minto | Low Back Stacking Chair     Stacking chair   Fully upholstered seat and frame   Round tube steel frame,seo+expand,Low back stacking chair | Brant Business Interiors,50,"Shop the Low back stacking chair at Brant Business Interiors — quality task seating for Ontario offices, clinics & institutions. OECM-eligible. Call 1-8...",155,,,
desk-top-dividers,9693140713785,Desk top dividers,Brant Business Interiors,desks,199.99,C,archive-duplicate,yes,80,Features     Brackets available in Silver (SL) finish   Frosted plexiglass panel,seo+expand,Desk top dividers | Brant Business Interiors,44,The Desk top dividers from Brant Business Interiors — durable office desks for Ontario workplaces. OECM-eligible supplier. Request a quote: 1-800-835-9565.,155,,,
l-shape-desk-with-36h-privacy-panel-1,9840946479417,"L-shape desk with 36""h privacy panel — 36""",Brant Business Interiors,desks,4199.99,C,archive-duplicate,yes,113,"L-Shape Desk with 36""H Privacy Panel   Desk Size: 72"" 72""   Panel Height: 36"" off the desktop   Assembly Required",seo+expand,"L-shape desk with 36""h privacy pa | Brant Business Interiors",60,"The L-shape desk with 36""h privacy panel — 36"" from Brant Business Interiors — durable office desks for Ontario workplaces. OECM-eligible supplier. Requ...",155,,,
laminate-lockers-copy,9822332387641,Laminate lockers,Brant Business Interiors,storage,1219.2,C,archive-duplicate,yes,105,Made in Canada   Wood or solid colour lockers.    Available in many shapes and sizes.    4 Week Lead Time,seo+expand,Laminate lockers | Brant Business Interiors,43,Shop the Laminate lockers at Brant Business Interiors — commercial-grade filing & storage for Ontario offices. OECM-eligible. Call 1-800-835-9565.,146,,,
lateral-file-storage-cabinet-with-shelves,10086762348857,Lateral file & storage cabinet with shelves,Brant Business Interiors,storage,1009.99,C,archive-duplicate,yes,153,"Made in Canada   Framed with 1"" thick construction with locking drawers and doors.    Adjustable shelves   Full Suspensi",seo+expand,Lateral file & storage cabinet wi | Brant Business Interiors,60,Shop the Lateral file & storage cabinet with shelves at Brant Business Interiors — commercial-grade filing & storage for Ontario offices. OECM-eligible....,155,,,
coffee-table,9673699295545,Coffee table,Brant Business Interiors,tables,399.99,C,archive-duplicate,yes,178,FEATURES SPECS   MG1242S-NB • Rectangle clear temperd glass table top • Metal frame in nickel brush • Ready to assemble ,seo+expand,Coffee table | Brant Business Interiors,39,The Coffee table available at Brant Business Interiors. Conference & training tables for Ontario institutions. OECM-eligible. Call 1-800-835-9565.,146,,,
round-table-glass-top,9673696248121,Round table glass top,Brant Business Interiors,tables,420.0,C,archive-duplicate,yes,173,FEATURES SPECS MG1230R-NB • Round clear tempered glass table top • Metal frame in nickel brush • Ready to assemble Overa,seo+expand,Round table glass top | Brant Business Interiors,48,The Round table glass top available at Brant Business Interiors. Conference & training tables for Ontario institutions. OECM-eligible. Call 1-800-835-9565.,155,,,
carpeted-floor-48-x-36-6,9099976245561,"Carpeted floor — 48"" x 36""",Brant Business Interiors,uncategorized,89.99,C,archive-duplicate,yes,122,"Category  Carpet Chair Mats  Manufacturer  Deflecto, LLC  Manufacturer Ref  CM13113  Brand  deflecto Item Code: DEFCM131",seo+expand,"Carpeted floor — 48"" x 36"" | Brant Business Interiors",53,"Shop the Carpeted floor — 48"" x 36"" at Brant Business Interiors — commercial office furniture for Ontario institutions. OECM-eligible. Call 1-800-835-9565.",155,,,
carpeted-floor-48-x-60-1,9100254708025,"Carpeted floor — 48"" x 60""",Brant Business Interiors,uncategorized,139.99,C,archive-duplicate,yes,126,"Category  Carpet Chair Mats  Manufacturer  Deflecto, LLC  Manufacturer Ref  CM13433F  Brand  deflecto  Item Code : DEFCM",seo+expand,"Carpeted floor — 48"" x 60"" | Brant Business Interiors",53,"Shop the Carpeted floor — 48"" x 60"" at Brant Business Interiors — commercial office furniture for Ontario institutions. OECM-eligible. Call 1-800-835-9565.",155,,,
shoptech-081,9754663682361,Shoptech — 081,Brant Business Interiors,uncategorized,335.0,C,archive-duplicate,yes,136,Features     Injection molded polyurethane seat cushion   Black steel heavy duty frame with footring   Non slip glides  ,seo+expand,Shoptech — 081 | Brant Business Interiors,41,Shop the Shoptech — 081 at Brant Business Interiors — commercial office furniture for Ontario institutions. OECM-eligible. Call 1-800-835-9565.,143,,,
shoptech-2300-pc775,9754652115257,Shoptech 2300– — PC775,Brant Business Interiors,uncategorized,369.0,C,archive-duplicate,yes,216,Features     Sit to stand application   Height adjustable gas lift action   Seat covered in hardwearing cushioned polyur,seo+expand,Shoptech 2300– | Brant Business Interiors,41,Shop the Shoptech 2300– at Brant Business Interiors — commercial office furniture for Ontario institutions. OECM-eligible. Call 1-800-835-9565.,143,,,
