parent_hub,sub_collection_handle,collection_type,products_count,template_suffix_current,notes
storage,bookcases-storage,custom,13,(none),POPULATED LEGACY — needs template flip
storage,storage-cabinets-storage,custom,13,(none),POPULATED LEGACY — needs template flip
storage,fire-resistant-safes-storage,custom,11,(none),POPULATED LEGACY — needs template flip
storage,credenzas,custom,9,(none),POPULATED LEGACY — needs template flip
storage,pedestal-drawers-storage,custom,9,(none),POPULATED LEGACY — needs template flip
storage,lateral-files-storage,custom,7,(none),POPULATED LEGACY — needs template flip
storage,fire-resistant-file-cabinets-storage,custom,6,(none),POPULATED LEGACY — needs template flip
storage,lockers,custom,6,(none),POPULATED LEGACY — needs template flip
storage,vertical-files,custom,6,(none),POPULATED LEGACY — needs template flip
storage,wardrobe-storage,custom,6,(none),POPULATED LEGACY — needs template flip
storage,lateral-storage-combo-storage,custom,5,(none),POPULATED LEGACY — needs template flip
storage,hutch,custom,2,(none),POPULATED LEGACY — needs template flip
storage,end-tab-filing-storage,custom,1,(none),POPULATED LEGACY — needs template flip
storage,high-density-storage,custom,0,base,EMPTY BASE SHELL
storage,media-storage,custom,0,base,EMPTY BASE SHELL
storage,metal-shelving,custom,0,(none),"EMPTY LEGACY — no products, not yet created"
storage,mobile-storage,custom,0,base,EMPTY BASE SHELL
storage,personal-storage,custom,0,base,EMPTY BASE SHELL
tables,meeting-tables,custom,12,(none),POPULATED LEGACY — needs template flip
tables,round-square-tables,custom,9,(none),POPULATED LEGACY — needs template flip
tables,folding-tables-tables,custom,8,(none),POPULATED LEGACY — needs template flip
tables,drafting-tables,custom,7,(none),POPULATED LEGACY — needs template flip
tables,coffee-tables,custom,5,(none),POPULATED LEGACY — needs template flip
tables,end-tables-tables,custom,5,(none),POPULATED LEGACY — needs template flip
tables,table-bases,custom,5,(none),POPULATED LEGACY — needs template flip
tables,training-flip-top-tables,custom,5,(none),POPULATED LEGACY — needs template flip
tables,cafeteria-kitchen-tables,custom,4,(none),POPULATED LEGACY — needs template flip
tables,bar-height-tables,custom,3,(none),POPULATED LEGACY — needs template flip
tables,cafe-tables,custom,0,base,EMPTY BASE SHELL
tables,collaborative-tables,custom,0,base,EMPTY BASE SHELL
tables,multipurpose-tables,custom,0,base,EMPTY BASE SHELL
tables,nesting-tables,custom,0,base,EMPTY BASE SHELL
tables,outdoor-tables,custom,0,base,EMPTY BASE SHELL
