handle,origin,collection_id,template_suffix_current,template_suffix_expected,products_count,notes
mailboxes,new-shell (Stage 1.6 only),526867104057,base,base,0,Empty shell as expected; awaiting product migration
media-storage,new-shell (Stage 1.6 only),526867136825,base,base,0,Empty shell as expected; awaiting product migration
medium-back-seating,legacy (P3-rollout only),473194561849,(none),base,49,POPULATED LEGACY — P3 was reverted; needs re-flip; 49 products
meeting-pods,deleted,,N/A,base,N/A,NOT FOUND in current Shopify inventory
meeting-tables,legacy (P3-rollout only),473196560697,(none),base,12,POPULATED LEGACY — P3 was reverted; needs re-flip; 12 products
mesh-seating,legacy (P3-rollout only),472894013753,(none),base,44,POPULATED LEGACY — P3 was reverted; needs re-flip; 44 products
metal-shelving,legacy (P3-rollout only),516839506233,(none),base,0,"Legacy with 0 products, no base suffix — P3 reverted, products may be in parent hub"
mobile-storage,new-shell (Stage 1.6 only),526867169593,base,base,0,Empty shell as expected; awaiting product migration
mobility-aids,deleted,,N/A,base,N/A,NOT FOUND in current Shopify inventory
modesty-panels,legacy (P3-rollout only),495571730745,(none),base,2,POPULATED LEGACY — P3 was reverted; needs re-flip; 2 products
modular-workstations,new-shell (Stage 1.6 only),526866972985,base,base,0,Empty shell as expected; awaiting product migration
monitor-accessories,deleted,,N/A,base,N/A,NOT FOUND in current Shopify inventory
monitor-arms,legacy (P3-rollout only),473196233017,(none),base,8,POPULATED LEGACY — P3 was reverted; needs re-flip; 8 products
multi-person-workstations-desks,legacy (P3-rollout only),474621018425,(none),base,9,POPULATED LEGACY — P3 was reverted; needs re-flip; 9 products
multipurpose-tables,new-shell (Stage 1.6 only),526867661113,base,base,0,Empty shell as expected; awaiting product migration
nesting-chairs-chair,legacy (P3-rollout only),473350930745,(none),base,5,POPULATED LEGACY — P3 was reverted; needs re-flip; 5 products
nesting-tables,new-shell (Stage 1.6 only),526867792185,base,base,0,Empty shell as expected; awaiting product migration
office-suites-desks,legacy (P3-rollout only),473351258425,(none),base,13,POPULATED LEGACY — P3 was reverted; needs re-flip; 13 products
ottomans,legacy (P3-rollout only),492979781945,(none),base,7,POPULATED LEGACY — P3 was reverted; needs re-flip; 7 products
outdoor-tables,new-shell (Stage 1.6 only),526867759417,base,base,0,Empty shell as expected; awaiting product migration
pedestal-drawers-storage,legacy (P3-rollout only),473278906681,(none),base,9,POPULATED LEGACY — P3 was reverted; needs re-flip; 9 products
personal-storage,new-shell (Stage 1.6 only),526867267897,base,base,0,Empty shell as expected; awaiting product migration
phone-booths,deleted,,N/A,base,N/A,NOT FOUND in current Shopify inventory
privacy-screens,new-shell (Stage 1.6 only),526867530041,base,base,0,Empty shell as expected; awaiting product migration
reception,legacy (P3-rollout only),476571271481,(none),base,3,POPULATED LEGACY — P3 was reverted; needs re-flip; 3 products
room-dividers-panels-dividers,legacy (P3-rollout only),473347686713,(none),base,13,POPULATED LEGACY — P3 was reverted; needs re-flip; 13 products
round-square-tables,legacy (P3-rollout only),473196429625,(none),base,9,POPULATED LEGACY — P3 was reverted; needs re-flip; 9 products
side-tables,new-shell (Stage 1.6 only),526867726649,base,base,0,Empty shell as expected; awaiting product migration
stacking-seating,legacy (P3-rollout only),473194922297,(none),base,16,POPULATED LEGACY — P3 was reverted; needs re-flip; 16 products
standing-tables,new-shell (Stage 1.6 only),526867693881,base,base,0,Empty shell as expected; awaiting product migration
stools-seating,legacy (P3-rollout only),473280315705,(none),base,15,POPULATED LEGACY — P3 was reverted; needs re-flip; 15 products
storage-cabinets-storage,legacy (P3-rollout only),473279463737,(none),base,13,POPULATED LEGACY — P3 was reverted; needs re-flip; 13 products
straight-desks-desks,legacy (P3-rollout only),473362202937,(none),base,17,POPULATED LEGACY — P3 was reverted; needs re-flip; 17 products
table-bases,legacy (P3-rollout only),502405628217,(none),base,5,POPULATED LEGACY — P3 was reverted; needs re-flip; 5 products
table-desks,legacy (P3-rollout only),473196134713,(none),base,6,POPULATED LEGACY — P3 was reverted; needs re-flip; 6 products
technology,legacy (P3-rollout only),471845110073,(none),base,0,"Legacy with 0 products, no base suffix — P3 reverted, products may be in parent hub"
training-desks,new-shell (Stage 1.6 only),526867038521,base,base,0,Empty shell as expected; awaiting product migration
training-flip-top-tables,legacy (P3-rollout only),486802522425,(none),base,5,POPULATED LEGACY — P3 was reverted; needs re-flip; 5 products
u-shape-desks-desks,legacy (P3-rollout only),474620821817,(none),base,16,POPULATED LEGACY — P3 was reverted; needs re-flip; 16 products
vertical-files,legacy (P3-rollout only),471782261049,(none),base,6,POPULATED LEGACY — P3 was reverted; needs re-flip; 6 products
wall-storage,new-shell (Stage 1.6 only),526867235129,base,base,0,Empty shell as expected; awaiting product migration
wardrobe-storage,legacy (P3-rollout only),473197117753,(none),base,6,POPULATED LEGACY — P3 was reverted; needs re-flip; 6 products
waste-recycling,new-shell (Stage 1.6 only),526867366201,base,base,0,Empty shell as expected; awaiting product migration
