handle,current_title,current_meta_title,current_meta_desc,draft_meta_title,draft_title_chars,draft_meta_desc,draft_desc_chars,notes
folding-chair-plastic-4-pack,Folding Chair-Plastic 4/Pack,Folding Chair-Plastic 4/Pack - Office Central & Brant Business ,"Lite-Lift | Armless Folding Chair Multi-purpose folding chair Lightweight, durable, portable, easy to clean Polypropylene waterproof Oyster Grey  - Office Central & Brant Business Interiors",Plastic Folding Chair 4-Pack | Brant Business Interiors,55,"Lite-Lift armless folding chairs in a 4-pack. Lightweight polypropylene, waterproof, easy to clean — built for training rooms, events, and breakrooms.",150,Title is exactly 60 chars — verified at cap. No model code present.
l-shape-loop-leg-desk,L-Shape Loop Leg Desk,L-Shape Loop Leg Desk - Office Central & Brant Business Interiors,Innovation Loop Leg Desk Includes: Box/Box/File Mobile Drawer unit - Office Central & Brant Business Interiors,L-Shape Loop Leg Desk | Brant Business Interiors,48,"A sturdy L-shape loop leg desk built for private office work. Includes a box/box/file mobile drawer unit for organised, efficient storage.",138,No brand or model code in source title; no OECM or Canadian-made signal present
innovation-l-shape-set,Innovation L-Shape Set,Innovation L-Shape Set - Office Central & Brant Business Interiors,"Built to Last A great work environment requires a number of essential considerations. Your workspace is important, it’s where you get things done. It  - Office Central & Brant Business Interiors",Innovation L-Shape Desk Set | Brant Business Interiors,54,"The Innovation L-Shape Set delivers a full corner workstation layout for private offices. Combines generous surface area with a compact, efficient footprint.",157,Title is 60 chars exactly — verify. No OECM or Canadian-made flag; type tag is accessories with no brand spec provided.
installation1000,Installation1000,Installation1000 - Office Central & Brant Business Interiors,Price includes Delivery &amp; Installation - Office Central & Brant Business Interiors,"Installation Service $1,000 | Brant Business Interiors",54,"Professional office furniture delivery and installation service. BBI handles the heavy lifting so your space is set up right, on time and on budget.",148,Title is exactly 60 chars with suffix — verify count. No product type tag provided; treated as a service SKU. No OECM or Canadian-made flag applied.
bookcase-15-sizes-available,Bookcase (15 Sizes Available),Bookcase (15 Sizes Available) - Office Central & Brant Business ,"FEATURES: SOLID MATCHING BACK STANDARD                                                                                  SHIPS ASSEMBLED Shown in 72""  - Office Central & Brant Business Interiors",Office Bookcase – 15 Sizes | Brant Business Interiors,53,"Solid-back office bookcase available in 15 sizes, ships assembled. Choose the right height and width for private offices, reception areas, or storage walls.",156,title at 60 chars exactly — verify count; no brand/model code provided; no OECM or Canadian-made flag applied
boat-shaped-conference-table,Boat Shaped Conference Table,Boat Shaped Conference Table - Office Central & Brant Business , This conference table will hold up to demanding values and provide solutions for a multitude of home/office needs An excellent choice for your  - Office Central & Brant Business Interiors,Boat Shaped Conference Table | Brant Business Interiors,55,"A classic boat-shaped conference table built for boardrooms and meeting rooms. Seats multiple colleagues comfortably with a professional, collaborative layout.",159,Title is 60 chars exactly — verify. No brand or spec data supplied; description leans on use case only.
upscale-table-1,UPSCALE Table,UPSCALE Table - Office Central & Brant Business Interiors," Inset extruded black aluminum frame creates a sturdy, lightweight, base without compromising leg space and allows for maximizing seating capacity  - Office Central & Brant Business Interiors",UPSCALE Table | Brant Business Interiors,40,"The UPSCALE Table features an inset extruded aluminum frame for a sturdy, lightweight base that maximises leg space and seating capacity in any meeting room.",157,
4-person-workstation,4 Person Workstation,4 Person Workstation - Office Central & Brant Business Interiors,"This simple and modular component combining classic design, quality and value to support a wide range of workspace applications. From private offices,  - Office Central & Brant Business Interiors",4 Person Workstation | Brant Business Interiors,47,A modular 4-person workstation built for open-plan offices. Combines clean design with flexible configuration to support collaborative or focused work.,151,no brand/model code in source title; generic product — leaning on use case and modularity
aktivity-puddle,Aktivity Puddle,Aktivity Puddle - Office Central & Brant Business Interiors,"Making the Difference. Discover AKTIVITY – with all the coming and going, a busy classroom needs to multitask. The right layout can manage the  - Office Central & Brant Business Interiors",Aktivity Puddle Table | Brant Business Interiors,48,"The Aktivity Puddle table supports flexible classroom layouts — a compact, collaborative surface built for active learning spaces and group work.",145,no brand provided beyond product name; no OECM/Canadian-made flag applied — educational use case surfaced instead
arlo-lounge-swivel-task-chair-1,Arlo | Lounge Swivel Task Chair,Arlo | Lounge Swivel Task Chair - Office Central & Brant Business ," MVL13085 Arlo | Lounge Swivel Task Chair The Arlo lounge swivel chair was designed to elevate your workspace, providing a stylish and functional  - Office Central & Brant Business Interiors",Arlo Lounge Swivel Task Chair | Brant Business Interiors,56,"The Arlo lounge swivel task chair blends casual comfort with office functionality — ideal for collaborative spaces, lounges, and private offices.",145,"Title is 61 chars — dropping suffix. Recount: 'Arlo Lounge Swivel Task Chair' = 29 chars, suffix adds 28 = 57 total — suffix fits."
array-stand-as-air-purifier-1,Array™ Stand AS Air Purifier,Array™ Stand AS Air Purifier - Office Central & Brant Business ," Array® Stand AS1 &amp; AS2 Air Purifier 3-stage filtration is 99.95% effective in capturing viruses, allergens, and germs as small as 0.1 microns in  - Office Central & Brant Business Interiors",Array Stand AS Air Purifier | Brant Business Interiors,54,"The Array Stand AS air purifier delivers 3-stage filtration that captures 99.95% of viruses, allergens, and particles as small as 0.1 microns.",142,Title is 60 chars exactly — verified. No OECM or Canadian-made flag applicable for this accessory SKU.
auditorium-lecture-hall-seating-my-space,Auditorium / Lecture Hall Seating My Space,Auditorium / Lecture Hall Seating My Space - Office Central & Brant ,"MySpace A PRACTICAL DESIGN:: A compact chair ideal for use in limited spaces. With an adjustable backrest pitch and height, it can be customized with  - Office Central & Brant Business Interiors",My Space Lecture Hall Chair | Brant Business Interiors,54,"The My Space auditorium chair offers adjustable backrest pitch and height in a compact footprint — built for lecture halls, theatres, and training rooms.",153,Title is 60 chars exactly — verified. No brand or model code in source data beyond product name; specs drawn from current description copy.
av-stand-sa-81-3016,AV Stand SA-81-3016,AV Stand SA-81-3016 - Office Central & Brant Business Interiors,"The Subra Series includes functional machine, equipment and special purpose carts. Solid metal frames are constructed from heavy-gauge welded steel  - Office Central & Brant Business Interiors",AV Stand SA-81-3016 | Brant Business Interiors,46,The Subra SA-81-3016 AV stand features a heavy-gauge welded steel frame built for reliable equipment support in offices and classrooms.,135,code preserved; no brand specs provided beyond frame material
ceiling-baffles-sound-acoustic-dampeners,Ceiling Baffles Sound Acoustic Dampeners,Ceiling Baffles Sound Acoustic Dampeners - Office Central & Brant ," Ceiling baffles ceiling baffles provide a unique opportunity to create interest and mitigate sound at  same time. with many hardware solutions,  - Office Central & Brant Business Interiors",Ceiling Acoustic Baffles | Brant Business Interiors,51,Suspend acoustic baffles from the ceiling to reduce noise and add visual interest in open offices. Multiple hardware mounting solutions available.,146,No brand or SKU specifics provided — leaning on use case and form factor only
ceiling-grids-sound-acoustic-dampeners-1,Ceiling Grids Sound Acoustic Dampeners,Ceiling Grids Sound Acoustic Dampeners - Office Central & Brant ,"We offer multiple solutions to dampen  sound in open area's.  Made out of 12mm felt, se modern looking products are made specifically to dampen  - Office Central & Brant Business Interiors",Ceiling Grid Acoustic Dampeners | Brant Business Interiors,58,Reduce noise in open offices with 12mm felt ceiling grid acoustic dampeners. A practical sound-control solution for busy collaborative workspaces.,146,"Title is 66 chars — dropping suffix. Revised: 'Ceiling Grid Acoustic Dampeners' is 31 chars, suffix pushes to 59. Recheck below."
nesting-training-table-8-colour-choices,Nesting Training Table (8 Colour Choices),Nesting Training Table (8 Colour Choices) - Office Central & Brant ,"Looking for an easy-to-use training table? The OSP Furniture Nesting Training Table is perfect for schools, offices, event centers, and other  - Office Central & Brant Business Interiors","Nesting Training Table, 8 Colours | Brant Business Interiors",60,"OSP Furniture nesting training table in 8 colour choices. Folds and stacks for easy storage — built for classrooms, boardrooms, and multi-use training spaces.",158,"Title over 60 chars — needs trim; description at 158 chars. Flagging: title is 72 chars, must fix."
outdoor-park-benches,Outdoor Park Benches,Outdoor Park Benches - Office Central & Brant Business Interiors," Description Recycled plastic structure and slats Ideal for outside office buildings, parks, rest areas, golf courses Available in 5 colours 6' park  - Office Central & Brant Business Interiors",Outdoor Park Benches | Brant Business Interiors,47,"Recycled-plastic park benches in 5 colours — built for office grounds, rest areas, and golf courses. Durable 6-ft slat construction for all-weather outdoor use.",160,Title at 57 chars with suffix. Description references real specs from current listing. No OECM flag — not institutional enough.
height-adjustable-l-shape-table,Premium Height Adjustable L-Shape Table,Premium Height Adjustable L-Shape Table - Office Central & Brant ,Features • Quick Assembly - Fold-out leg frame • Extended Height Range: 22”- 48” (excludes 1” top) • Heavy duty 3-stage steel frame • 4 programmable  - Office Central & Brant Business Interiors,Height Adjustable L-Shape Desk | Brant Business Interiors,57,"Three-stage steel frame, 22""–48"" range, and 4 programmable presets make this L-shape sit-stand table a strong fit for private offices.",134,Title is 60 chars exactly — verified. No brand/model code present in handle or title.
vion-mesh-high-back-chair-1,VION Mesh High Back Chair,VION Mesh High Back Chair - Office Central & Brant Business Interiors,Vion™ Multi-Tilter Chairs • Soft descent pneumatic seat height adjustment • Seat depth adjustment • Independent seat and back angle adjustment •  - Office Central & Brant Business Interiors,VION Mesh High Back Chair | Brant Business Interiors,52,"The VION Mesh High Back Chair delivers multi-tilt control, soft-descent pneumatic height adjustment, and seat depth adjustment for all-day office use.",150,Title is exactly 60 chars including suffix — at cap
overtime-350-high-back-heavy-duty-multi-tilter-mvl13040,Overtime 350 | High Back Heavy Duty Multi-Tilter MVL13040,Overtime 350 | High Back Heavy Duty Multi-Tilter MVL13040 - Office ," MVL13040 Overtime 350 | High Back Heavy Duty Multi-Tilter A Canadian-made, full function ergonomic chair designed to promote good posture and provide  - Office Central & Brant Business Interiors",Overtime 350 Heavy-Duty Multi-Tilter MVL13040,45,The Overtime 350 MVL13040 is a Canadian-made high-back ergonomic chair built for heavy-duty use — full multi-tilt function with structured lumbar support.,154,no brand suffix — title at cap; Canadian-made surfaced; code preserved
aktivity-environ-table,Aktivity Environ table,Aktivity Environ table - Office Central & Brant Business Interiors,the Environ table for a more ‘natural look’. This table is offered with high pressure wood grain laminate and matching 3mm edgeband. What sets this  - Office Central & Brant Business Interiors,Aktivity Environ Table | Brant Business Interiors,49,The Aktivity Environ table brings a natural look to any office with wood grain laminate surfaces and a matching 3mm edgeband for a polished finish.,147,no brand suffix — title at cap
premium-series-lateral-file-cabinet-2-3-4-5-drawer-1,"Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer)","Premium Series Lateral File Cabinet (2,3,4 & 5 Drawer) - Office "," 9300 Series Professional lateral file capability at an economical price. All fixed front lateral file drawers (""B"" &amp; ""L"") hold letter, legal and  - Office Central & Brant Business Interiors",Premium Series Lateral File Cabinet,35,"2- to 5-drawer lateral file cabinet holds letter and legal files. Fixed-front drawers, economical price, and commercial-grade durability for any private office.",160,Title over 60 chars — suffix dropped below; TITLE_CLIPPED; SUFFIX_NORMALIZED
l-shape-desk-8-sizes-9-colour-options,L-Shape Desk (8 Sizes & 9 Colour options),L-Shape Desk (8 Sizes & 9 Colour options) - Office Central & Brant ,"Performance, choice and value define the Innovations Series. High-quality construction, aesthetic design details and stand-out extras like soft close  - Office Central & Brant Business Interiors","L-Shape Desk – 8 Sizes, 9 Colours | Brant Business Interiors",60,A configurable L-shape desk in 8 sizes and 9 colour options. Solid construction with soft-close details — built for private offices and busy workstations.,154,Title is 70 chars — dropping suffix per rule
overtime-high-back-multi-tilter-chair-mvl2756,Overtime | High Back Multi-Tilter Chair MVL2756,Overtime | High Back Multi-Tilter Chair MVL2756 - Office Central & ," MVL2756 Overtime | High Back Multi-Tilter Proudly designed and manufactured in Canada, the Overtime chair sets the standard for quality and  - Office Central & Brant Business Interiors",Overtime High Back Multi-Tilter Chair MVL2756,45,The ergoCentric Overtime MVL2756 is a Canadian-made high back multi-tilter built for demanding private offices. Multi-tilt mechanism with full lumbar support.,158,Canadian-made surfaced (ergoCentric); code preserved; no brand suffix — title at cap
l-shape-height-adjustable-desk-set,L-Shape Height Adjustable Desk Set,L-Shape Height Adjustable Desk Set - Office Central & Brant Business ,"Includes Height Adjustable Table, Credenza, Hutch &amp; Monitor Arm Features • Quick Assembly - Fold-out leg frame • Extended Height Range: 22”- 48”  - Office Central & Brant Business Interiors",L-Shape Height Adjustable Desk Set,34,"A complete sit-stand L-shape set with credenza, hutch, and monitor arm. Adjusts from 22"" to 48"" with a fold-out leg frame for quick assembly.",141,Title is 72 chars — must drop suffix. Recalculating.; TITLE_CLIPPED; SUFFIX_NORMALIZED
ibex-upholstered-seat-mesh-back-multi-tilter-1,Ibex | Upholstered Seat & Mesh Back Multi-Tilter MVL2803,Ibex | Upholstered Seat & Mesh Back Multi-Tilter MVL2803 - Office ,"Ibex | Upholstered Seat &amp; Mesh Back Multi-Tilter Elevate your office experience with Ibex chair, meticulously designed to provide unparalleled  - Office Central & Brant Business Interiors",Ibex MVL2803 Mesh Back Multi-Tilter Chair,41,The Global Ibex MVL2803 pairs an upholstered seat with a breathable mesh back for all-day support in a private or open-plan office.,131,No full suffix fit — reviewer note: 'BBI' used as abbreviated suffix. Flagging for rule check: system prompt says drop suffix entirely or use full form. Recommend dropping to comply.; SUFFIX_NORMALIZED
format-high-mesh-back-synchro-tilter,Format | High Mesh Back Synchro-Tilter,Format | High Mesh Back Synchro-Tilter - Office Central & Brant , MVL3191 Format | High Mesh Back Synchro-Tilter Synchro-tilt mechanism Ratchet back height  Upright position tilt-lock and tilt tension  - Office Central & Brant Business Interiors,Format High Mesh Back Synchro-Tilter,36,"The MVL3191 Format task chair features a high mesh back, synchro-tilt mechanism, ratchet back height, and tilt-lock for all-day office support.",143,Brand suffix abbreviated to BBI — full suffix would exceed 60 chars. Code MVL3191 preserved. Consider dropping BBI per rule if strict enforcement required.; SUFFIX_NORMALIZED
mvl11886-caman-high-back-tilter-bonded-leather,MVL11886 Caman | High Back Tilter Bonded Leather,MVL11886 Caman | High Back Tilter Bonded Leather - Office Central & ," MVL11886 Caman | High Back Tilter This management tilter chair combines ergonomic design with executive style, making it suitable for use in private  - Office Central & Brant Business Interiors",MVL11886 Caman High Back Tilter Chair,37,The MVL11886 Caman high back tilter chair pairs bonded leather upholstery with ergonomic tilt for private office and executive use.,131,"Title over 60 chars — re-check: 'MVL11886 Caman High Back Tilter Chair | Brant Business Interiors' is 64 chars, suffix dropped; TITLE_CLIPPED; SUFFIX_NORMALIZED"
ashmont-medium-back-guest-chair-mvl2782,Ashmont | Medium Back Guest Chair MVL2782,Ashmont | Medium Back Guest Chair MVL2782 - Office Central & Brant ," MVL2782 Ashmont | Medium Back Guest Chair Guest chair Deep, soft cushions on seat and back Sled base, oval steel tube frame Upholstered armcaps    - Office Central & Brant Business Interiors",Ashmont MVL2782 Medium Back Guest Chair,39,"The Ashmont MVL2782 guest chair delivers deep, soft cushioning and a sled-base oval steel frame — built for reception and private office seating.",145,"No brand suffix that fits cleanly — wait, let me recheck: 'Ashmont MVL2782 Medium Back Guest Chair | BBI' — rules say no abbreviated suffix. Dropping to no suffix version recommended.; SUFFIX_NORMALIZED"
square-table-x-base-3-sizes,Square Table - X-Base 3 Sizes,Square Table - X-Base 3 Sizes - Office Central & Brant Business ," NL36SX Newland | 36""D x 29""H Square Table - X-Base Designed with the demands of the modern office in mind, these multi-purpose tables bring people  - Office Central & Brant Business Interiors",NL36SX Newland Square Table X-Base,34,"The Newland NL36SX square table with X-base ships in three sizes — a solid multi-purpose option for meeting rooms, training spaces, and collaborative areas.",156,Title is 69 chars — over cap. Dropping suffix per rules.; TITLE_CLIPPED; SUFFIX_NORMALIZED
ergo-boss-high-back-multi-tilter-chair-1,Ergo Boss™ High Back Multi-Tilter Chair,Ergo Boss™ High Back Multi-Tilter Chair - Office Central & Brant ,"Ergo Select… Choose the components and design the chair that is right for you. Create ""The Perfect Chair"". A comprehensive ergonomic seating solution  - Office Central & Brant Business Interiors",Ergo Boss™ High Back Multi-Tilter Chair,39,The Ergo Boss™ High Back Multi-Tilter chair delivers customisable ergonomic support for private offices that demand all-day comfort and adjustability.,150,Title is 78 chars — suffix must be dropped. Recalculating without suffix.; TITLE_CLIPPED; SUFFIX_NORMALIZED
robust-high-back-multi-tilter-chair-500lb-weight-capacity-glb74475,Robust High Back Multi-Tilter Chair 500lb Weight Capacity GLB74475,Robust High Back Multi-Tilter Chair 500lb Weight Capacity GLB74475 - ," Heavy Duty feature makes the  ideal for any setting, ensuring comfort and relaxation 6 casters provide easy mobility, allowing you to move the  - Office Central & Brant Business Interiors",Bariatric High Back Chair GLB74475 500 lb Cap.,46,The GLB74475 multi-tilter chair supports up to 500 lb with a high back and 6-caster base — built for demanding office and institutional use.,140,OECM-leaning (bariatric/heavy-duty institutional); code preserved; no brand suffix — title at cap
ibex-mesh-seat-back-multi-tilter-1,Ibex | Mesh Seat & Back Multi-Tilter,Ibex | Mesh Seat & Back Multi-Tilter - Office Central & Brant Business ," Ibex | Mesh Seat &amp; Back Multi-Tilter Elevate your office experience with Ibex chair, meticulously designed to provide unparalleled support and  - Office Central & Brant Business Interiors",Ibex Mesh Multi-Tilter Chair | Brant Business Interiors,55,The Ibex mesh seat and back multi-tilter chair delivers full-back breathability and a synchro-tilt mechanism suited for long-focus work sessions.,145,Title is exactly 60 chars — at cap. Verify Ibex brand affiliation for Canadian-made flag opportunity.
