product_id,product_handle,current_title,current_vendor,current_body_first_200,detected_manufacturer,classification,confidence,confidence_tier,primary_signal,evidence_summary,recommended_vendor_correction,sub_brand_detected,decision,product_type,sku_sample,sku_prefix,barcode_sample,ambiguous_prefix
9455249195321,table-desk-13-colour-options,Table desk 13 colour options — 13 colour,Brant Business Interiors,"""L"" SHAPED DESK - 72""W X 72""D Simple and modular components combining classic design, quality and value to support a wide range of workspace applications. From private offices, open plan, meeting and ",Global Furniture Group,CONFIDENT,HIGH,tier2,sku_subcode: SKU sub-code NLP (e.g. NLP224 WCR) (sku),[HIGH] sku_subcode:'SKU sub-code NLP (e.g. NLP224 WCR)' in sku->Global Furniture Group,Global Furniture Group,,,,NLP224 WCR,NLP,,
9469554262329,indoor-planter,Indoor planter,Brant Business Interiors,Bring the outdoors in Bring the outdoors in to establish and maintain a positive connection with nature in the office! The Viro modular plant wall provides necessary privacy while improving the air qu,NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=WS,NONE,,,,WS48-PLANTER/B,WS,,WS
9499674050873,u-shape-height-adjust-desk,U-shape height adjust desk,Brant Business Interiors,"A U-shape workstation that moves with the work — sit, stand, and spread out in a configuration built for full-day output. The Innovations U-Shape Height Adjust Desk gives private-office and executive ",Heartwood,CONFIDENT,HIGH,tier2,sku_subcode: SKU sub-code INNO (e.g. INNO-LAYOUT 67) (sku),[HIGH] sku_subcode:'SKU sub-code INNO (e.g. INNO-LAYOUT 67)' in sku->Heartwood,Heartwood,,,,INNO-LAYOUT 67,INNO,,
9664277971257,high-back-tilter-with-arms,High back tilter with arms,Brant Business Interiors,Upholstery Options: Luxhide: Available in various colors,NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,,,,(no-sku)
9665393262905,height-adjustable-l-shape-71x71,"Height adjustable l-shape — 71""x71""",Brant Business Interiors,Includes INV-362472ECM Non-Handed Extended Corner Module INV-2436TOP 36” Rectangular Top ATH-E1-3LEG Athena 3 Leg Base INV-MP1-1566PLX Plexiglass Hanging Modesty Panel 100-MMPF Metal Mobile Pedestal -,Heartwood,CONFIDENT,HIGH,tier1,sku_prefix: SKU prefix HDL (e.g. HDL-HT-ADJ-LAYOUT #7) (sku),[HIGH] sku_prefix:'SKU prefix HDL (e.g. HDL-HT-ADJ-LAYOUT #7)' in sku->Heartwood,Heartwood,,,,HDL-HT-ADJ-LAYOUT #7,HDL,,
9665415807289,dual-sided-height-adjustable-table,Dual sided height adjustable table,Brant Business Interiors,"STANDARD FEATURES • Super quiet, dual synchronized motor; less than 48db noise • Anti-collision protection • Optional upgraded controller displaying exact height with 4 preset height settings • Black ",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=WS,NONE,,,,WS48 AGE2DSD126/#_F INV2448TOP,WS,,WS
9665676181817,clamp-on-power-bar-and-usb-charging-station,Clamp-on power bar and USB charging station,Brant Business Interiors,"Combine your charging station and power bar to optimize your office space. This ergonomic and easy-to-install power bar is equipped with three 120 V outlets, one USB-A outlet, one USB-C outlet with pl",Richelieu,CONFIDENT,HIGH,tier1,sku_prefix: SKU prefix RIC (e.g. RIC-23213030) (sku),[HIGH] sku_prefix:'SKU prefix RIC (e.g. RIC-23213030)' in sku->Richelieu,Richelieu,,,,RIC-23213030,RIC,,
9665682669881,charging-station-with-a-clamp,Charging station with a clamp,Brant Business Interiors,This triple outlet power strip with a clamp and a USB port organizes your workspace. It is simple to install.,Richelieu,CONFIDENT,HIGH,tier1,sku_prefix: SKU prefix RIC (e.g. RIC-OME0023A1U1C90) (sku),[HIGH] sku_prefix:'SKU prefix RIC (e.g. RIC-OME0023A1U1C90)' in sku->Richelieu,Richelieu,,,,RIC-OME0023A1U1C90,RIC,,
9666375647545,bar-height-table,Bar height table,Brant Business Interiors,"Bar Height Table Metal Base available in Square or Round Base available in 3 colours: Black, Silver & White 8 Colours Base Height: 41"" Top Thickness 1""=42"" High Chairs not included The round base incl",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,900-SQU20BARSIL-INVSQ24,,,(no-sku)
9666433220921,dual-monitor-arm,Dual monitor arm,Brant Business Interiors,"Fellowes Platinum Mounting Arm for Monitor - Silver - 2 Display(s) Supported 27"" Screen Support - 18.14 kg Load Capacity In Stock Category Monitor Arms Manufacturer Fellowes, Inc. Increase valuable de",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,,,,(no-sku)
9666433876281,keyboard-tray-multi-position,Keyboard tray multi position,Brant Business Interiors,Features Legato Arm Mechanism lift n’ lock TM “leverless” height adjustment 8.88” height adjustment range of 2.38” above and 6.5” below worksurface innovative dial tilt makes angle adjustment quick an,Horizon Furniture,CONFIDENT,HIGH,tier1,sku_prefix: SKU prefix HZN (e.g. HZN-JV01) (sku),[HIGH] sku_prefix:'SKU prefix HZN (e.g. HZN-JV01)' in sku->Horizon Furniture,Horizon Furniture,,,,HZN-JV01,HZN,,
9666434138425,keyboard-tray-multi-adjustable,Keyboard tray multi adjustable,Brant Business Interiors,Features Legato Arm Mechanism lift n’ lockTM “leverless” height adjustment 8.88” height adjustment range of 2.38” above and 6.5” below worksurface innovative dial tilt makes angle adjustment quick and,Horizon Furniture,CONFIDENT,HIGH,tier1,sku_prefix: SKU prefix HZN (e.g. HZN-ECA EB02) (sku),[HIGH] sku_prefix:'SKU prefix HZN (e.g. HZN-ECA EB02)' in sku->Horizon Furniture,Horizon Furniture,,,,HZN-ECA EB02,HZN,,
9666435449145,jax-keyboard-tray,Jax keyboard tray,Brant Business Interiors,"The NEW JAX Sit to Stand is the most innovative keyboard arm in the market. It rises above the desk more than any other to allow typing standing up,and is supplied with a 21.75” fully storable track. ",Richelieu,CONFIDENT,HIGH,tier1,sku_prefix: SKU prefix RIC (e.g. RIC5008479C3) (sku),[HIGH] sku_prefix:'SKU prefix RIC (e.g. RIC5008479C3)' in sku->Richelieu,Richelieu,,,,RIC5008479C3,RIC,,
9666436006201,easy-pull-in-out-keyboard-tray,Easy pull in & out keyboard tray,Brant Business Interiors,"Large 28"" keyboard and mouse surface Low profile platform maximizes knee clearance Wrist rest included for extra comfort",Horizon Furniture,CONFIDENT,HIGH,tier1,sku_prefix: SKU prefix HZN (e.g. HZNKL28SG27) (sku),[HIGH] sku_prefix:'SKU prefix HZN (e.g. HZNKL28SG27)' in sku->Horizon Furniture,Horizon Furniture,,,,HZNKL28SG27,HZNKL,,
9667777626425,stacking-chair-popcorn-6711,Stacking chair popcorn — 6711,Brant Business Interiors,"Duet is a high-density stacking chair that is easy to connect, quick to stack and simple to store. Frame is made from durable solid steel rod available in chrome only. Polypropylene seat and backs wit",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,6621,,,(no-sku)
9667781034297,stacking-chair-sonic-6508,Stacking chair sonic — 6508,Brant Business Interiors,"Sonic is ideal for meeting rooms, office guest seating, food facilities, lecture halls, and just about anywhere. The series is offered with or without arms, with or without casters, polypropylene, uph",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,6508,,,(no-sku)
9667825598777,gas-lift-monitor-riser,Gas lift monitor riser,Brant Business Interiors,"Desk riser allows you to go from sitting to standing with ease. Stop at any position from 6-1/4"" x 19-1/2"" when adjusting the height. Desk riser operates with a double gas-spring monitor lift for smoo",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=SPR,NONE,,,,SPR-LLR99554,SPR,,SPR
9667868524857,soft-pods,Soft pods,Brant Business Interiors,The all NEW SOFTPOD Please contact our Furniture Dept for more information. furnorders@officecentral.com,NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=SOFT,NONE,,,,Soft Pods-1,SOFT,,SOFT
9669947326777,reception-unit-72x72,"L shape reception unit 72""x72"" 15B — 72""x72""",Brant Business Interiors,Desk shell is part of the Innovations Laminate Series that combines intelligent design and function with lasting durability The series offers high-quality construction with an abundance of components ,Heartwood,CONFIDENT,HIGH,tier1,sku_prefix: SKU prefix HDL (e.g. HDL-Layout # 15) (sku),[HIGH] sku_prefix:'SKU prefix HDL (e.g. HDL-Layout # 15)' in sku->Heartwood,Heartwood,,,,HDL-Layout # 15,HDL,,
9674747117881,upscale-meeting-boardroom-tables-3-sizes-8-colours,"Upscale meeting / boardroom tables 3 sizes, 8 colours — 3 sizes",Brant Business Interiors,"The sturdy all-metal base provides a stable surface for any application. • Whether it’s round 36” tops in a break room or a 192 x 48” racetrack top boardroom table, Upscale will get the job done Easy ",Heartwood,CONFIDENT,HIGH,tier1,sku_prefix: SKU prefix HDL (e.g. HDL-INV-REC9648-MUP) (sku),[HIGH] sku_prefix:'SKU prefix HDL (e.g. HDL-INV-REC9648-MUP)' in sku->Heartwood,Heartwood,,,,HDL-INV-REC9648-MUP,HDL,,
9674761797945,upscale-table-1,Upscale table,Brant Business Interiors,A clean-lined café and breakroom table built to hold up through daily use without taking over the room. The UPSCALE Table combines a sturdy extruded aluminum frame with a refined commercial design tha,Heartwood,CONFIDENT,HIGH,tier1,sku_prefix: SKU prefix HDL (e.g. HDL-INV-R36-MUPBLK) (sku),[HIGH] sku_prefix:'SKU prefix HDL (e.g. HDL-INV-R36-MUPBLK)' in sku->Heartwood,Heartwood,,,,HDL-INV-R36-MUPBLK,HDL,,
9676929270073,banquet-chair-stacking,Banquet chair stacking,Brant Business Interiors,Description Horizon's “New” armless stacking chair is a multi-functional banquet chair which can be used at an array of venues. Ideal for easy storage and 10 high stack capacity (optional dollies avai,Horizon Furniture,CONFIDENT,HIGH,tier1,sku_prefix: SKU prefix HZN (e.g. HZN-A117V) (sku),[HIGH] sku_prefix:'SKU prefix HZN (e.g. HZN-A117V)' in sku->Horizon Furniture,Horizon Furniture,,,,HZN-A117V,HZN,,
9676931498297,recycled-plastic-picnic-tables,Recycled plastic picnic tables,Brant Business Interiors,"Description 100% recycled plastic Guaranteed not to rust or crack, eliminating the need for component replacement Mold-in colour feature means no painting is ever required Impervious to graffiti, dirt",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=SCN,NONE,,,,scn-nd426,SCN,,SCN
9680085844281,round-table-29-high,"Round table 29"" high — 29""",Brant Business Interiors,"1"" Table Top Material: Polyvinyl Chloride (PVC) Edge, Metal Leg - Finish: Powder Coated Black Base Colours: 8 Colours Height: 30""",Heartwood,CONFIDENT,HIGH,tier1,sku_prefix: SKU prefix HDL (e.g. HDL-R36RT900CROSS30) (sku),[HIGH] sku_prefix:'SKU prefix HDL (e.g. HDL-R36RT900CROSS30)' in sku->Heartwood,Heartwood,,,,HDL-R36RT900CROSS30,HDL,,
9682147737913,student-chair-4-sizes-1,Student Chair 4 sizes,Brant Business Interiors,"Honor Roll 4-Leg Stacking Chair is developed for use in any learning environment. It is the only chair on the market that can stack fifteen chairs high freestanding, locking into one another when stac",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=C,NONE,,,,C-HR-4LEG12,C,,C
9682149048633,student-chair-4-sizes-copy,Student Chair 4 sizes,Brant Business Interiors,"The Air 4-Leg Stacking Chair was developed for use in any learning environment. It can stack five chairs high freestanding, locking into one another when stacked for stability. For volume orders, plea",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=C,NONE,,,,C-AIR-4LEG12,C,,C
9682150621497,student-chair-4-sizes,Student Chair 4 sizes,Brant Business Interiors,"The Savvy 4-Leg Stacking Chair was developed for use in any learning environment. It can stack five chairs high freestanding, locking into one another when stacked for stability. Designed with a built",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=C,NONE,,,,C-SVY-4LEG12,C,,C
9682495111481,student-desk,Student Desk,Brant Business Interiors,"The Honor Roll Square Leg Desk with Closed Book Box is attractive, sturdy and durable. A budget-minded desk for all grade levels. Legs are welded to the book box providing strength and stability. Hard",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=DSQ,NONE,,,,DSQ1824OAKBLK,DSQ,,DSQ
9682497536313,student-desk-1,Student Desk,Brant Business Interiors,"Duet high density multi-purpose stacking tables, 29""w x 25""d x 28""h Duet stacking tables for post-secondary and adult levels are easy to configure, stack and store Can quickly transition from classroo",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=DTS,NONE,,,,DTS1828P,DTS,,DTS
9682812207417,boulevard-system-3,Boulevard system 3,Brant Business Interiors,Boulevard System 3 Disregard Pricing,NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,,,,(no-sku)
9682813813049,diet,Diet,Brant Business Interiors,"Diet Create any size, any colour Made in Canada Disregard Pricing.",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,,,,(no-sku)
9683059179833,table-round-height-adjustable,Table round height adjustable,Brant Business Interiors,"Available in the following sizes: 48"" and 60"" Diameter Available in the following heights: 17"" - 25"", 22"" - 30"" and 30"" - 42"" Maple high pressure scratch resistant laminate Silver 3mm vinyl bonded edg",MityBilt,CONFIDENT,HIGH,tier1,sku_prefix: SKU prefix MTY (e.g. MTY-AT48RMPL) (sku),[HIGH] sku_prefix:'SKU prefix MTY (e.g. MTY-AT48RMPL)' in sku->MityBilt,MityBilt,,,,MTY-AT48RMPL,MTY,,
9683080249657,horseshoe-study-table-height-adjustable-c-shape-horseshoe-1,Horseshoe study table height adjustable c-shape horseshoe,Brant Business Interiors,"Available in the following sizes: 36"" x 60"" and 48"" x 72"" Available in the following heights: 17"" - 25"", 22"" - 30"" and 30"" - 42"" Maple high pressure scratch resistant laminate Silver 3mm vinyl bonded ",MityBilt,CONFIDENT,HIGH,tier1,sku_prefix: SKU prefix MTY (e.g. MTY-IS-ATC#3660) (sku),[HIGH] sku_prefix:'SKU prefix MTY (e.g. MTY-IS-ATC#3660)' in sku->MityBilt,MityBilt,,,,MTY-IS-ATC#3660,MTY,,
9683089654073,pod-phone-booths,Pod phone booths,Brant Business Interiors,"POD (Privacy on Demand) is a family of products that are designed for occasional, short-duration privacy from the open plan. It supports technology and helps shape an environment where people want to ",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,,,,(no-sku)
9683134611769,ultima-adjustable-stool,Ultima adjustable stool,Brant Business Interiors,"Adjustable height 20"" - 26"" Seat backing steel plate for additional strength Fully welded frame Available in a range of seat colours Durable powder coat finish, for the sake of the environment Black f",MityBilt,CONFIDENT,HIGH,tier1,sku_prefix: SKU prefix MTY (e.g. MTY- IS-S2026) (sku),[HIGH] sku_prefix:'SKU prefix MTY (e.g. MTY- IS-S2026)' in sku->MityBilt,MityBilt,,,,MTY- IS-S2026,MTY,,
9683142836537,metal-desk-laminate-top,Metal desk laminate top,Brant Business Interiors,"The 24"" x 60"" Apex teachers desk is completely mobile and features integral wire management, a modesty panel and a locking box box file pedestal - everything the busy teacher needs! Maple high pressur",MityBilt,CONFIDENT,HIGH,tier1,sku_prefix: SKU prefix MTY (e.g. MTY-IS-AP2460.BBF.MOD) (sku),[HIGH] sku_prefix:'SKU prefix MTY (e.g. MTY-IS-AP2460.BBF.MOD)' in sku->MityBilt,MityBilt,,,,MTY-IS-AP2460.BBF.MOD,MTY,,
9683498795321,sonoma,Sonoma,Brant Business Interiors,"Sonoma™ patient and resident room furniture was developed with the help of healthcare professionals, designers and patients to meet the evolving needs of people in care. Sonoma bedside cabinets suppor",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=SANOMA,NONE,,,,Sanoma,SANOMA,,SANOMA
9683645563193,ryno-patio-furniture-waterproof-polyethylene,Ryno patio furniture waterproof polyethylene,Brant Business Interiors,"FEATURES Additional weighting limits potential to weaponize Strength & stability tested for severe contract use Pick proof design UV resistant, waterproof polyethylene construction makes it suitable f",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,,,,(no-sku)
9683649954105,recliners-by-ryno,Recliners by Ryno,Brant Business Interiors,FEATURES Reclining motion is controlled with body weight – no controls or power required The internal mechanism is concealed to minimize ligature risks The generous width seat provides comfort while n,NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,,,,(no-sku)
9685432140089,foundations-next-gen-serenity-safereach-compact-crib,Foundations Next Gen Serenity SafeReach Compact Crib,Brant Business Interiors,"Drop-gate is easy to use for caregiver comfort Advanced teething rail for extra strength and durability 24"" x 38"" sleeping surface with 3"" Infapure mattress Easy assembly required, includes all necess",Foundations,CONFIDENT,HIGH,tier2,direct_name: Foundations Next Gen (title),[HIGH] direct_name:'Foundations Next Gen' in title->Foundations,Foundations,,,,,,,
9686666871097,uni-flip-training-tables-7-sizes,Flip Top Training Tables 7 Sizes,Brant Business Interiors,Frames: White or Black with Silver Powder coat finish base. Worksurfaces: 1” M2 Grade substrate Studio White Matching 2mm PVC edge High Pressure Laminate Features: Swiveling lockable casters QUICK SHI,NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=WS,NONE,,,,WS48-MFLIP080/BF-WS101003-7981,WS,,WS
9688143266105,sit2stand-series-sit-stand-workstation,Sit2stand series sit-stand workstation,Brant Business Interiors,Effortlessly transition from sitting to standing in seconds - Convert an existing desk or table into a high-quality and affordable sit-to-stand workstation and effortlessly go from sitting to standing,Richelieu,CONFIDENT,HIGH,tier1,sku_prefix: SKU prefix RIC (e.g. RIC-500S2S001R30) (sku),[HIGH] sku_prefix:'SKU prefix RIC (e.g. RIC-500S2S001R30)' in sku->Richelieu,Richelieu,,,,RIC-500S2S001R30,RIC,,
9688164958521,duet-tablet-chair,Duet Tablet Chair,Brant Business Interiors,"Armchair with Right or Left Tablet, Polypropylene Seat & Back",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,6620TR,,,(no-sku)
9688170398009,agile-double-sided-8-pod-height-adjustable-shared-desk,Agile double sided 8-pod height adjustable shared desk,Brant Business Interiors,"Each workstation includes: Height Adjustable White Table 48""x24"" Cable Snake Drawers on Wheels Desktop Power Pack (USB,USBC;Duplex) Dividers (Front & Side) Overall Footprint: 190"" x 65"" $2005.00 per P",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=none,NONE,,,,,,,(no-sku)
9688173543737,screenflex-5-panel-mobile-light-duty-portable-room-divider-65h-x-95w-fabric-color-stone,"Screenflex 5 panel mobile light-duty portable room divider, 6'5""h x 9'5""w, fabric color: stone — 5""",Brant Business Interiors,"Screenflex Portable Room Dividers are the world's highest quality portable walls and can help you make much better use of your facility, time and budget. Simply roll them into position and set up the ",Screenflex,CONFIDENT,HIGH,tier2,direct_name: Screenflex (title),[HIGH] direct_name:'Screenflex' in title->Screenflex; [HIGH] direct_name:'Screenflex' in body->Screenflex,Screenflex,,,,,,,
9688271159609,bow-front-desk-72x42,"Bow front desk — 72""X42""",Brant Business Interiors,"Bow Front Desk with a supported drawer pedestal. Size: 72""x42"" 3 Week Lead Time. Shown in Royal Mahogany",Intelligent Office Furniture,CONFIDENT,HIGH,tier2,sku_subcode: SKU sub-code UN (e.g. UN7242BWL/BBF) (sku),[HIGH] sku_subcode:'SKU sub-code UN (e.g. UN7242BWL/BBF)' in sku->Intelligent Office Furniture,Intelligent Office Furniture,,,,UN7242BWL/BBF,UN,,
9688274895161,soho-desk-single-pedestal-2-sizes,Soho desk single pedestal — 2 sizes,Brant Business Interiors,"Features: • Commercial grade 1 “ thick laminate • Heat, scratch and dent resistant • Innovative floating top styling • Box drawer stores desk accessories • File drawer stores letter or legal size file",Heartwood,CONFIDENT,HIGH,tier1,sku_prefix: SKU prefix HDL (e.g. HDL-MA11-2448) (sku),[HIGH] sku_prefix:'SKU prefix HDL (e.g. HDL-MA11-2448)' in sku->Heartwood,Heartwood,,,,HDL-MA11-2448,HDL,,
9689001951545,oci-platinum-monitor-arms,Oci platinum monitor arms,Brant Business Interiors,"Adept Series Monitor Arm Utilizing classic and time tested styling, the Adept Series delivers outstanding performance and a value conscious price tag. With its counter-balance mechanism set for the mo",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=ERGOACCESS,NONE,,,,ERGOACCESS-LR72-927B-G1,ERGOACCESS,,ERGOACCESS
9690784596281,lockers-single-tier-assembled,Lockers single tier (assembled),Brant Business Interiors,"1 Overall Depth 18"" Overall Height 72"" Overall Width 36""",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=SCN,NONE,,,,SCN-FJ151,SCN,,SCN
9690804846905,lockers-2-tier-assembled,Lockers 2 tier (assembled),Brant Business Interiors,"2 Overall Depth 18"" Overall Height 76"" Overall Width Single 12"", Double 24"", Triple 36"", Quad 48""",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=SCN,NONE,,,,SCN-FL396,SCN,,SCN
9692198633785,lockerettes-6-tier-bank-of-3-36-x-18-x-72-steel-grey-rivet-assembled,"Lockerettes, 6 -tier, bank of 3, 36"" x 18"" x 72"", steel, grey, rivet (assembled) — 36"" x 18"" x 72""",Brant Business Interiors,"Clean Line™ Lockerettes, 6 -tier, Bank of 2, 24"" x 18"" x 72"", Steel, Grey, Rivet (Assembled) Description Prime grade cold rolled steel locker All welded frame and door Riveted body Frames are resistan",NONE,AMBIGUOUS,UNKNOWN,,,no manufacturer signal; sku_prefix=SCN,NONE,,,,SCN-FJ173,SCN,,SCN
