handle,current_desc_first_200c,draft_body_html,draft_word_count,notes
square-table-x-base-3-sizes,"NL36SX 
 
 
 Newland | 36""D x 29""H Square Table - X-Base 
 
 Designed with the demands of the modern office in mind, these multi-purpose tables bring people together by combining versatility and effic","<p><strong>A square table that works as hard as the room it sits in — from focused solo work to impromptu team huddles.</strong></p><p>The Newland Square Table — X-Base (model NL36SX) is a 36""D × 29""H multi-purpose worksurface built for the demands of a real office environment. The X-base design keeps sightlines open and legroom unobstructed, while a selection of finishes lets you match existing interiors without a custom order. Three height options mean you can spec the right configuration for standard seating, collaborative standing areas, or lounge-adjacent zones — all within the same product family.</p><h3>Key features</h3><ul><li>Model code: NL36SX — 36""D × 29""H square table with X-base configuration.</li><li>Available in three height options to suit seated, collaborative, or café-height applications.</li><li>X-base frame design keeps floor space visually open and accommodates standard seating on all four sides.</li><li>Multiple finish selections available to coordinate with existing office or boardroom interiors.</li><li>Designed for multi-purpose use: independent workstations, informal meetings, and common-area socializing.</li><li>Commercial-grade construction suited to daily use in open-plan offices, training rooms, and staff lounges.</li></ul><h3>Who it's for</h3><p>Office administrators and facilities managers at businesses, non-profits, health teams, and municipal offices who need a flexible, durable table solution that can shift between work modes without requiring furniture replacement. Well-suited for common areas, collaborative zones, and multi-use meeting spaces.</p><p>Brant Business Interiors delivers and installs across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> for current lead times, finish samples, and free design layouts.</p>",256,"minimal source — generic copy; no certifications or material specs in source, none invented; BAD_ENDING_1"
ergo-boss-high-back-multi-tilter-chair-1,Dimensions: W25.5 x D25 x H41.5 IN.,"<p><strong>The chair that supports your back through a full day of focused work.</strong></p><p>The Ergo Boss™ High Back Multi-Tilter Chair is built for private offices and workstations where long hours demand real ergonomic support. The high-back design provides full spinal coverage from lumbar to upper back, while the multi-tilt mechanism lets the seat and back move together for natural, dynamic sitting. At 25.5""W × 25""D × 41.5""H, it fits a range of standard office configurations without overwhelming the space.</p><h3>Key features</h3><ul><li>High-back design with full lumbar and upper-back support for extended sit sessions.</li><li>Multi-tilt mechanism allows coordinated seat-and-back movement for active sitting comfort.</li><li>Dimensions: 25.5"" W × 25"" D × 41.5"" H overall.</li><li>Commercial-grade construction suited to daily, full-time use in private office environments.</li><li>Upholstered seating surface designed for all-day occupancy.</li><li>Chair height adjustable via pneumatic lift for a range of user heights.</li></ul><h3>Who it's for</h3><p>Well-suited for office managers, directors, and administrative leads who spend the majority of their day at a desk. A practical choice for private offices in municipalities, professional services firms, non-profits, and healthcare administration settings where seating durability and comfort are both priorities.</p><p>Brant Business Interiors serves buyers across Ontario from 5 locations, with delivery and installation available province-wide. <strong>Call 1-800-835-9565</strong> to confirm ergonomic options and finishes for your space.</p>",236,minimal source — generic copy; no model code in source; dimensions preserved verbatim; BAD_ENDING_1
height-adjustable-l-shape-table,Features • Quick Assembly - Fold-out leg frame •  Extended Height Range: 22”- 48” (excludes 1” top)  • Heavy duty  3-stage  steel frame • 4 programmable memory positions • Actuator system with synchro,"<p><strong>An L-shape workstation that grows with your team — height-adjustable from 22"" to 48"" and ready to fit your existing top or a new Innovations surface.</strong></p><p>This height-adjustable L-shape table base is built around a heavy-duty 3-stage steel frame with a synchronized motor driving each leg in tandem, so the surface stays level at every position. The extended height range — 22"" to 48"" (excluding the 1"" top) — accommodates seated and standing work without compromise. Four programmable memory positions let users dial in their preferred heights and return to them instantly. The fold-out leg frame means quick assembly out of the box, and the contemporary offset foot leaves clearance for a keyboard tray or monitor arm without crowding the footwell. Tops are sold separately; this base is designed to work with the Innovations tops line or to retrofit onto your existing worksurface, protecting past investments in furniture already in service.</p><h3>Key features</h3><ul><li>Extended height range: 22"" to 48"" (excludes 1"" top).</li><li>Heavy-duty 3-stage steel frame for long-term structural stability.</li><li>Synchronized actuator motor drives each leg simultaneously.</li><li>4 programmable memory positions for instant height recall.</li><li>Fold-out leg frame for quick, low-tool assembly.</li><li>Contemporary offset foot accommodates keyboard trays and accessories.</li><li>Compatible with Innovations tops (sold separately) or retrofit onto existing worksurface.</li><li>In-stock — available for prompt delivery.</li></ul><h3>Who it's for</h3><p>Office managers and procurement professionals outfitting private offices, shared workstations, or sit-stand pilot programs in business, healthcare, or municipal environments. The retrofit compatibility makes it a cost-effective upgrade path for organizations managing multi-phase furniture transitions.</p><p>Brant Business Interiors delivers and installs across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> for current lead times, retrofit compatibility questions, and free design layouts.</p>",295,In-stock claim preserved from source. No model code present in source — none added. Retrofit/Innovations language kept verbatim from source specs.; BAD_ENDING_1
robust-high-back-multi-tilter-chair-500lb-weight-capacity-glb74475,"Heavy Duty feature makes the chair ideal for any setting, ensuring comfort and relaxation 
 6 casters provide easy mobility, allowing you to move the chair conveniently 
 Executive Chair is perfect fo","<p><strong>Built to hold up where standard chairs fall short — 500 lb weight capacity, high-back support, and multi-tilt control for full-day comfort.</strong></p><p>The GLB74475 Robust High Back Multi-Tilter Chair is a heavy-duty executive chair engineered for users who need a seat that means it. With a 500 lb weight capacity, it addresses a gap that most standard task seating cannot fill. The high-back design provides full lumbar and upper-back support, while the multi-tilt mechanism lets occupants adjust recline tension and movement to suit their posture and work style. Six casters deliver smooth, stable mobility across hard floors and low-pile carpet — practical for busy private offices and workstations where you move often throughout the day.</p><h3>Key features</h3><ul><li>500 lb weight capacity for heavy-duty, inclusive seating.</li><li>High-back design supports the full length of the spine, including lumbar and upper back.</li><li>Multi-tilt mechanism with adjustable tension for personalized recline control.</li><li>Six casters provide smooth mobility across hard floors and low-pile carpet.</li><li>Executive chair profile suitable for private offices and manager workstations.</li><li>Model: GLB74475.</li></ul><h3>Who it's for</h3><p>Office managers and procurement teams sourcing heavy-duty seating for employees who require higher weight-rated chairs — including band offices, municipal departments, health teams, and private-sector firms where standard 250–300 lb capacity chairs are not sufficient.</p><p>Brant Business Interiors offers delivery and installation across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> to confirm ergonomic options and finishes for your space.</p>",250,"Bariatric/high-capacity chair — OECM mention considered but source is business-tagged, not explicitly institutional; kept general. Minimal source specs — no dimensions or material details fabricated.; BAD_ENDING_1"
ibex-mesh-seat-back-multi-tilter-1,"Ibex | Mesh Seat &amp; Back Multi-Tilter 
 
 Elevate your office experience with Ibex chair, meticulously designed to provide unparalleled support and style. Unlock your full potential with an office ","<p><strong>A full-mesh task chair built for long shifts and honest work.</strong></p><p>The Ibex Mesh Seat &amp; Back Multi-Tilter is a practical, ventilated task chair designed for office environments where people are seated for most of the day. The mesh seat and back promote airflow, reducing heat build-up during extended use — a straightforward advantage in any busy office. The multi-tilter mechanism gives the user real control over recline tension and movement, supporting a range of postures without requiring constant manual adjustment. Clean lines and a professional silhouette make it a comfortable fit in open-plan offices, private workstations, and team environments alike.</p><h3>Key features</h3><ul><li>Full mesh seat and back for sustained airflow and comfort during extended use.</li><li>Multi-tilter mechanism with adjustable recline tension for personalized movement control.</li><li>Seat height adjustable via pneumatic lift to accommodate a range of user heights.</li><li>Contoured mesh back provides lumbar support without added bulk.</li><li>Durable five-star base for stability across standard commercial flooring.</li><li>Professional, neutral aesthetic suitable for private offices, workstations, and collaborative areas.</li></ul><h3>Who it's for</h3><p>Office managers and procurement coordinators equipping private offices, open-plan workstations, or team areas where staff are seated for long periods. A reliable mid-range task chair for Canadian SMB offices, non-profits, and municipal or administrative work environments where comfort and durability both matter.</p><p>Brant Business Interiors serves clients across Ontario from 5 locations, with delivery and installation available province-wide. <strong>Call 1-800-835-9565</strong> to confirm ergonomic options and finishes for your space.</p>",254,Minimal source — generic copy; no model codes found in source; no certifications claimed.; BAD_ENDING_1
pneumatic-height-adjustable-table,"Description 
 
 One-touch pneumatic table Height adjustment for Standing and seated meetings 
 White frame and white laminate Top (-1) 
 Steel frame Construction for stability 
 4 Wheels 
 Color: Whit","<p><strong>A meeting table that adjusts in seconds — no crank, no tools, just one touch.</strong></p><p>The Pneumatic Height Adjustable Table is built for collaborative workspaces where the room needs to shift between seated and standing configurations without slowing anyone down. The steel frame keeps the surface stable at any height, while the white laminate top and white frame keep the look clean and professional. Four wheels let you move it to where the work is happening — then lock it in place when it's time to get started.</p><h3>Key features</h3><ul><li>One-touch pneumatic height adjustment for quick transitions between seated and standing positions.</li><li>White powder-coated steel frame construction for long-term stability under daily use.</li><li>White laminate tabletop surface — durable, easy to clean, and resistant to everyday wear.</li><li>Four wheels for easy repositioning across hard floors or low-pile carpet.</li><li>Colour: White frame and white laminate top.</li></ul><h3>Who it's for</h3><p>Office managers and facilities coordinators outfitting boardrooms, huddle spaces, or multi-use meeting rooms where the room configuration changes regularly. Well suited for team environments that alternate between sit-down and standing meetings throughout the day.</p><p>Brant Business Interiors delivers and installs across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> for current lead times and free design layouts.</p>",211,minimal source — generic copy; no model code in source to preserve; BAD_ENDING_1
chevron-ultra-high-back-multi-tilter-chair-high-back-bao11203-1,Basics® Chevron Ultra™ Multi-Tilter Chairs • Soft Descent™ pneumatic seat height adjustment • Seat depth adjustment • Independent seat and back angle adjustment • Infinitely adjustable seat angle • Ad,"<p><strong>A high-back ergonomic chair built for long days at the desk — and the adjustments to prove it.</strong></p><p>The Basics® Chevron Ultra™ Multi-Tilter Chair (model BAO11203) delivers a full range of ergonomic controls in a professional high-back design suited to private offices, workstations, and administrative environments. Soft Descent™ pneumatic seat height adjustment lets users dial in the right position without jarring drops, while independent seat and back angle controls allow genuine customization to individual posture needs. The upholstered high back provides support through the lumbar and upper spine during extended seated work. Height- and width-adjustable arms with articulating arm caps reduce shoulder strain across a range of tasks. Hard floor casters are included as standard.</p><h3>Key features</h3><ul><li>Model BAO11203 — Basics® Chevron Ultra™ Multi-Tilter, ultra high back configuration.</li><li>Soft Descent™ pneumatic seat height adjustment for smooth, controlled positioning.</li><li>Seat depth adjustment to accommodate a range of user body types.</li><li>Independent seat and back angle adjustment with infinitely adjustable seat angle.</li><li>Adjustable back angle and back height adjustment for personalized lumbar support.</li><li>Tilt tension adjustment to match recline resistance to user preference.</li><li>Height- and width-adjustable arms with articulating arm caps.</li><li>Hard floor casters included as standard.</li><li>Fabric upholstery on seat and back.</li></ul><h3>Who it's for</h3><p>Office administrators, executive assistants, and private-office professionals who spend the majority of their workday seated and need a chair with meaningful ergonomic range — not just a height adjustment. Also suited to procurement managers outfitting multiple workstations where consistent ergonomic compliance matters.</p><p>Brant Business Interiors supplies and installs across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> to confirm ergonomic options and finishes for your space.</p>",276,BAD_ENDING_1
outdoor-steel-bench,"Description 
 
 Metal construction, durable polyester powder coating 
 Ergonomic, with lumbar support 
 Holes provided for anchoring (anchors not included) 
 Available in Green, Blue, Red, Black, Yell","<p><strong>A commercial-grade outdoor bench built to stay put through Ontario seasons.</strong></p><p>This outdoor steel bench combines durable metal construction with an ergonomic profile — including lumbar support — to give occupants a genuinely comfortable seat in exterior settings. A polyester powder-coat finish resists weathering and UV exposure, while pre-drilled anchoring holes let facilities teams secure the bench permanently to concrete or pavement (anchors not included). At 48"" W × 25"" D × 34"" H, it suits entranceways, courtyards, transit stops, and campus grounds. The bench carries 69% post-consumer recycled content and is free of VOCs, supporting organizational sustainability targets without sacrificing structural integrity.</p><h3>Key features</h3><ul><li>All-steel construction with durable polyester powder-coat finish for weather and corrosion resistance.</li><li>Ergonomic seat profile with lumbar support for extended outdoor use.</li><li>Pre-drilled holes for permanent anchoring; anchors not included.</li><li>48"" W × 25"" D × 34"" H — suited to entranceways, courtyards, and campus exteriors.</li><li>Available in Green, Blue, Red, Black, and Yellow to match site or brand colour standards.</li><li>69% post-consumer recycled content supports sustainability procurement criteria.</li><li>VOC-free construction — no off-gassing concerns in sheltered or semi-enclosed outdoor areas.</li></ul><h3>Who it's for</h3><p>Facilities and procurement managers at municipalities, school boards, non-profit organizations, First Nations band offices, and commercial campuses sourcing durable, low-maintenance outdoor seating for high-traffic exterior spaces.</p><p>Brant Business Interiors supplies and delivers outdoor commercial furnishings across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> for current lead times and free design layouts.</p>",249,OECM-leaning buyers likely; OECM phrase withheld as no direct institutional anchor in source — reviewer may add if appropriate.; BAD_ENDING_1
l-shape-desk-8-sizes-9-colour-options-2,"Performance, choice and value define the Innovations Series. High-quality construction, aesthetic design details and stand-out extras like soft close hinges are standard in this Series. Offering compo","<p><strong>A configurable L-shape desk built for a private office that does real work — in the size and finish that actually fits the space.</strong></p><p>The Innovations Series L-Shape Desk is a component-based workstation available in 8 sizes and 9 colour options, giving procurement teams the flexibility to outfit a single office or an entire floor with a consistent, coordinated look. High-quality construction is standard throughout, with thoughtful details like soft-close hinges on storage components. The series draws from over 100 components across 7 finishes, so reconfiguration or future expansion stays within the same system. The desk surface runs 30"" deep — a practical, space-conscious depth suited to most private-office layouts.</p><h3>Key features</h3><ul><li>Available in 8 sizes to suit a range of office footprints.</li><li>9 colour options across 7 finishes for coordinated, multi-office rollouts.</li><li>Part of the Innovations Series — over 100 compatible components available.</li><li>30"" deep work surface on the desk panel.</li><li>Reversible return configuration for flexible room layouts.</li><li>Soft-close hinges standard on applicable storage components.</li><li>In-stock availability — contact for current status and lead times.</li></ul><h3>Who it's for</h3><p>Office administrators at non-profits, municipalities, health teams, and school boards furnishing private offices or manager workstations. Also suited to SMB office managers fitting out professional services or operations offices where finish consistency and component flexibility matter.</p><p>Brant Business Interiors carries the full Innovations Series across 5 Ontario locations, with delivery and installation available across Ontario. <strong>Call 1-800-835-9565</strong> for current lead times, in-stock colour confirmation, and free design layouts.</p>",259,In-stock claim carried from source; no model codes present in source to preserve.; BAD_ENDING_1
vion-mesh-high-back-chair-1,Vion™ Multi-Tilter Chairs • Soft descent pneumatic seat height adjustment • Seat depth adjustment • Independent seat and back angle adjustment • Adjustable back angle • Back height adjustment • Lumbar,"<p><strong>The chair that keeps your back supported through an eight-hour day without making you think about it.</strong></p><p>The VION Mesh High Back Chair is a multi-tilter task chair built for private offices and open-plan workstations where all-day seated work is the norm. The breathable black mesh back promotes airflow and reduces heat build-up, while the upholstered seat provides a stable, comfortable foundation. Every major adjustment point is within reach from a seated position, so workers can dial in their fit without leaving the chair or calling facilities.</p><h3>Key features</h3><ul><li>Soft descent pneumatic seat height adjustment for smooth, controlled positioning.</li><li>Seat depth adjustment accommodates a range of sitting positions and body types.</li><li>Independent seat and back angle adjustment for personalized recline and posture support.</li><li>Adjustable back angle and back height to align lumbar support with individual spine geometry.</li><li>Lumbar pressure adjustment lets users increase or reduce lower-back support without additional accessories.</li><li>Tilt tension adjustment calibrated to user body weight for controlled recline.</li><li>Height and width adjustable arms with soft-touch, self-skinned sliding arm caps reduce shoulder and wrist strain.</li><li>Black mesh back paired with an upholstered seat balances ventilation with seat comfort.</li></ul><h3>Who it's for</h3><p>Office managers sourcing task seating for private offices, administrative stations, or open-plan workstations where staff are seated for extended hours. Well suited for professional services firms, municipal offices, family health teams, and any organization prioritizing ergonomic adjustability at a commercial price point.</p><p>Brant Business Interiors carries the VION Mesh High Back Chair and delivers across Ontario from 5 locations, with installation available. <strong>Call 1-800-835-9565</strong> to confirm ergonomic options and finishes for your space.</p>",279,minimal source — generic copy; no model code in source to preserve; BAD_ENDING_1
ultra-high-back-tilter-with-arms-mvl11730,"Ultra | High Back Tilter with Arms 
 
 Tilter mechanism 
 Upright position tilt lock 
 Chrome arms and base 
 Dual wheel carpet casters 
 Pneumatic seat height adjustment 
 Optional removable armcaps ","<p><strong>A high-back tilter built for the private office that expects both comfort and presence.</strong></p><p>The Ultra High Back Tilter (MVL11730) delivers executive-level seating with a mechanism designed for sustained use throughout the workday. The tilter action allows natural recline with a lock in the upright position, giving the user control over posture without sacrificing comfort. Chrome arms and a matching chrome base give the chair a clean, professional look that holds up in client-facing offices as well as closed-door workspaces. Pneumatic seat height adjustment means setup is quick and repeatable across users — practical for shared offices or rotating staff.</p><p>For organizations looking to finish the chair to a higher specification, MVL11730 can be upholstered in Luxhide bonded leather. Optional removable armcaps are available separately under model MVL11733, offering flexibility for users who prefer a different arm surface or need to remove arms entirely for access.</p><h3>Key features</h3><ul><li>Tilter mechanism with upright position tilt lock for posture control.</li><li>Pneumatic seat height adjustment for fast, tool-free setup.</li><li>Chrome arms and chrome base for a consistent, professional finish.</li><li>Dual wheel carpet casters for smooth movement on carpeted surfaces.</li><li>Upholstery option: Luxhide bonded leather available on request.</li><li>Optional removable armcaps available — order separately as MVL11733.</li></ul><h3>Who it's for</h3><p>Well suited for private offices, executive suites, and senior staff workstations where a high-back chair with a polished finish is expected. Also a practical choice for office managers sourcing a durable, adjustable tilter that can be specified in bonded leather without a custom lead time.</p><p>Brant Business Interiors delivers and installs across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> to confirm ergonomic options and finishes for your space.</p>",281,BAD_ENDING_1
raven-high-back-heavy-duty-synchro-tilter-chair-otg10703b,"RAVEN 400 is a heavy duty office chair designed for individuals who are taller or carry more weight, ensuring exceptional comfort throughout the day. Engineered for continuous use in demanding environ","<p><strong>Built for the long shift — and the person who needs a chair that can keep up.</strong></p><p>The Raven High Back Heavy Duty Synchro-Tilter Chair (OTG10703B) is engineered for individuals who are taller or carry more weight, delivering reliable ergonomic support across continuous, demanding use. Whether deployed at a dispatch desk, a 24-hour operations centre, or a busy administrative workstation, the Raven 400 is built to perform where standard task chairs fall short. The high-back design provides full lumbar and upper-back contact, while the synchro-tilt mechanism lets users fine-tune recline to match how they actually sit throughout the day.</p><h3>Key features</h3><ul><li>Synchro-tilter mechanism with multi-position tilt lock for controlled recline.</li><li>Ratchet back height adjustment to fit a range of body types and preferences.</li><li>Side-activated sliding seat depth adjustment for proper thigh support.</li><li>Heavy-duty construction rated for continuous 24-hour use in demanding environments.</li><li>High-back design supports lumbar and upper back through extended seated periods.</li><li>Model code: OTG10703B.</li></ul><h3>Who it's for</h3><p>Ideal for municipalities, logistics operations, hospitals, band offices, and any workplace running extended or 24-hour shifts where a standard chair won't hold up. Also well-suited for larger-framed individuals in private-sector offices, manufacturing environments, and professional services firms looking for a chair with meaningful capacity and adjustability.</p><p>Brant Business Interiors delivers and installs across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> to confirm ergonomic options and finishes for your space.</p>",247,OECM-leaning — consider surfacing OECM if ordered through institutional channel; minimal source specs beyond mechanism and adjustment features.; BAD_ENDING_1
innovation-l-shape-curved-corner,"3 Sizes 
 Ready to assemble 
 Multiple colour options","<p><strong>A corner desk that fits the way private offices actually get used — with room to spread out and a curved edge that keeps everything within reach.</strong></p><p>The Innovation L-Shape Curved Corner brings a functional, space-conscious layout to private offices, manager workstations, and home-office setups that demand more than a single straight surface. The curved corner panel eliminates the awkward dead zone typical of hard-angled L-shapes, giving you a continuous, usable work surface across both runs. Available in three sizes to suit tighter executive offices or larger open-plan configurations, and offered in multiple colour options so it integrates cleanly with existing furniture without a full refresh. Ships ready to assemble, keeping delivery straightforward and installation flexible.</p><h3>Key features</h3><ul><li>L-shape configuration with curved corner panel for continuous, comfortable reach across both surfaces.</li><li>Available in 3 sizes to fit a range of private office and workstation footprints.</li><li>Multiple colour options to coordinate with existing office furniture and finishes.</li><li>Ready-to-assemble construction for flexible, cost-effective installation.</li><li>Designed for daily commercial use in private offices, manager stations, and administrative workspaces.</li></ul><h3>Who it's for</h3><p>Office administrators, managers, and procurement teams outfitting private offices or multi-person administrative areas where surface area and layout efficiency matter. Suited to municipalities, non-profits, professional services firms, and any organization standardizing on a practical, mid-range desk solution.</p><p>Brant Business Interiors delivers and installs across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> for current lead times, available sizes and colour options, and free design layouts.</p>",257,minimal source — generic copy; no model codes in source; size and colour claims drawn directly from original description; BAD_ENDING_1
wood-laminate-storage-cabinets,"Features: 
 
 Locking Doors 
 Adjustable Shelves 
 Assembled 
 Made in Canada","<p><strong>Secure, organized storage built for offices that mean business.</strong></p><p>Wood laminate storage cabinets offer a clean, professional look without sacrificing durability — a practical fit for private offices, administrative workrooms, and shared staff areas. Locking doors keep sensitive documents and supplies secure, while adjustable shelving lets you configure the interior to suit binders, equipment, or general office stock. These cabinets arrive assembled, so installation is straightforward and downtime is minimal. Made in Canada.</p><h3>Key features</h3><ul><li>Locking doors for secure document and supply storage.</li><li>Adjustable shelves to accommodate varied storage needs.</li><li>Arrives fully assembled for easy placement.</li><li>Wood laminate construction for a durable, professional finish.</li><li>Made in Canada.</li></ul><h3>Who it's for</h3><p>Office administrators, records coordinators, and facilities managers looking for reliable locking storage in a private office, back-of-house workroom, or shared staff area. A practical choice for non-profits, municipal offices, school board facilities, and professional services firms that need everyday storage that holds up to commercial use.</p><p>Brant Business Interiors delivers and installs across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> for current lead times, finish options, and free design layouts.</p>",185,Canadian-made surfaced — confirmed in source. No model codes in source to preserve.; BAD_ENDING_1
credenza-scmsu,"Credenza 
 72"" Wide x 22"" Deep x 29"" High 
 2 Door Storage and Multi Drawer Unit 
 Full Suspension Glides 
 Locks included","<p><strong>A full-width credenza built for the organized private office — locking storage, deep drawers, and a clean work surface in one unit.</strong></p><p>The Credenza SCMSU gives private offices and executive suites a hardworking surface without the clutter. At 72 inches wide, 22 inches deep, and 29 inches high, it spans a full wall run and sits flush to standard desk height, making it a natural extension of any workstation or stand-alone credenza wall. Two doors conceal interior storage for binders, supplies, and equipment, while the multi-drawer unit keeps documents sorted and within reach. Full-suspension glides mean every drawer opens smoothly under a full load, not just when it's empty. Locks are included on all compartments — no retrofit required, no separate hardware order.</p><h3>Key features</h3><ul><li>Dimensions: 72"" W × 22"" D × 29"" H.</li><li>Two-door storage compartment for supplies, binders, and equipment.</li><li>Multi-drawer unit with full-suspension glides for smooth, full-extension operation.</li><li>Locks included on all compartments — no additional hardware required.</li><li>Work-surface height (29"") aligns with standard desk configurations.</li><li>Model: SCMSU.</li></ul><h3>Who it's for</h3><p>Office managers and administrative coordinators outfitting private offices, executive suites, or team workrooms where organized, lockable storage is a daily requirement. Well suited to professional services firms, municipal offices, and any environment where confidential documents need to stay secure.</p><p>Brant Business Interiors delivers and installs across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> for current lead times and free design layouts.</p>",243,minimal source — generic copy; specs drawn directly from source listing only; BAD_ENDING_1
bar-leaner-1-span-collaborative,"Bar Leaners  
 Research suggests that by simply standing during meetings helps to boost energy, productivity, and engagement. It even helps to speed up meetings. 
 With frames to support a variety of ","<p><strong>A standing-height gathering point that keeps collaborative conversations short, focused, and on their feet.</strong></p><p>The Axis Bar Leaner 1-Span Collaborative table is built for the impromptu moments that happen between meetings — quick check-ins at a shared workspace, a standing huddle in a break room, or a casual collaborative zone in an open office. The 2.0"" × 2.0"" end frames with flush ground weld finish give the structure a clean, unobtrusive profile that works in nearly any layout without competing with the rest of the room. A single-span worktop configuration keeps the footprint compact while still providing enough surface for two or three people to gather around a laptop or a set of documents.</p><h3>Key features</h3><ul><li>2.0"" × 2.0"" end frames with flush ground weld finish for a clean, commercial-grade look.</li><li>Single-span worktop configuration suited to compact collaborative zones.</li><li>Unobtrusive foot design that keeps walkways clear and layouts flexible.</li><li>Designed for standing-height use to encourage engagement and faster, more focused conversations.</li><li>Supports a variety of worktop sizes to fit different space configurations.</li><li>Seating not included — pairs with compatible bar-height stools as needed.</li></ul><h3>Who it's for</h3><p>Office managers and facilities coordinators furnishing break rooms, collaboration zones, or open-plan office areas where informal standing meetings are part of the daily workflow. Well suited to SMB professional services firms, municipal offices, and any workplace looking to add a standing-height gathering point without a large footprint.</p><p>Brant Business Interiors delivers and installs across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> for current lead times and free design layouts.</p>",268,minimal source — generic copy; no model codes present in source to preserve; BAD_ENDING_1
otg13026-safari-medium-mesh-back-tilter-chair,"OTG13026 
 Safari | Medium Mesh Back Tilter 
 
 Tilter mechanism 
 Compact design suitable for average to petite size individuals 
 Contoured Black mesh back with lumbar strap provides excellent suppo","<p><strong>A compact mesh-back tilter built for average to petite frames — without sacrificing support.</strong></p><p>The OTG13026 Safari is a straightforward task chair designed for offices where comfort and manageability matter more than bells and whistles. Its contoured black mesh back delivers breathability across a full workday, while the built-in lumbar strap keeps the lower back properly positioned without requiring manual adjustment. The tilter mechanism with upright lock and tension control lets users dial in a comfortable recline or hold the chair firm — useful in focused work settings where posture consistency counts. Fixed loop arms keep the profile clean and the price accessible. The Safari fits well where seating needs to be practical, durable, and easy to specify across multiple positions.</p><h3>Key features</h3><ul><li>Model: OTG13026 Safari Medium Mesh Back Tilter.</li><li>Tilter mechanism with upright tilt lock and tilt tension adjustment.</li><li>Contoured black mesh back with lumbar strap for lower-back support.</li><li>Compact design suited for average to petite-sized individuals.</li><li>Fixed loop arms for a clean, consistent profile.</li><li>Pneumatic seat height adjustment.</li><li>Dual-wheel carpet casters.</li><li>Seat available in all Grade 1 seating textiles or Luxhide (various colours); back in black mesh.</li></ul><h3>Who it's for</h3><p>Office administrators, reception staff, and workstation users in non-profit offices, health teams, municipal offices, and small private-sector firms looking to outfit multiple positions with a reliable, right-sized task chair at a manageable price point.</p><p>Brant Business Interiors carries the OTG13026 Safari and delivers across Ontario from 5 locations, with installation available. <strong>Call 1-800-835-9565</strong> to confirm ergonomic options and finishes for your space.</p>",264,BAD_ENDING_1
desk-single-pedestal-bbf,"Desk Size: 24"" x 48"" Also available in 30""x48"", 30""x60"", 30""x72"", 36""x72"" Right side BBF 1"" constructions Full suspension drawers","<p><strong>A solid single-pedestal desk built for the day-to-day grind of a working office.</strong></p><p>Available in five sizes — from a compact 24"" x 48"" up to a full 36"" x 72"" — this single-pedestal desk fits private offices, administrative workstations, and support staff areas where reliable storage and a clean work surface matter most. The right-side Box/Box/File (BBF) pedestal puts everyday essentials within reach without crowding the floor plan. One-inch construction throughout gives the unit genuine durability for long-term, high-use environments.</p><h3>Key features</h3><ul><li>Available sizes: 24"" x 48"", 30"" x 48"", 30"" x 60"", 30"" x 72"", and 36"" x 72"".</li><li>Right-side BBF pedestal — two box drawers plus one file drawer.</li><li>Full-suspension drawers for smooth, reliable operation under daily use.</li><li>1"" panel construction for a sturdy, commercial-grade feel.</li><li>Straightforward rectangular footprint suits a range of private-office and workstation layouts.</li></ul><h3>Who it's for</h3><p>Office administrators, administrative assistants, and support staff at SMB firms, municipal offices, non-profits, and family health teams who need a dependable, right-hand-storage desk without excess bulk. Works equally well as a secondary workstation in a private office or as the primary desk in a compact admin area.</p><p>Brant Business Interiors supplies and installs across Ontario from 5 locations. <strong>Call 1-800-835-9565</strong> for current lead times, available sizes, and free design layouts.</p>",231,minimal source — generic copy; no model codes in source to preserve; BAD_ENDING_1
