string_variant,canonical_brand,parent_brand,is_standalone_brand,storefront_callable,product_count,notes
Global Upholstery Co. / Offices to Go,OTG / Offices to Go,Global Furniture Group,True,True,5,Consumer-recognizable budget-tier brand in Canadian commercial furniture. 14 combo strings naming both Global Upholstery Co. and OTG mapped here — OTG is the standalone storefront brand in those pairings; Global Upholstery Co. folds into GFG parent.
"Global Upholstery Co., Inc / Offices To Go",OTG / Offices to Go,Global Furniture Group,True,True,5,Consumer-recognizable budget-tier brand in Canadian commercial furniture. 14 combo strings naming both Global Upholstery Co. and OTG mapped here — OTG is the standalone storefront brand in those pairings; Global Upholstery Co. folds into GFG parent.
Global Upholstery Co. / Offices To Go,OTG / Offices to Go,Global Furniture Group,True,True,4,Consumer-recognizable budget-tier brand in Canadian commercial furniture. 14 combo strings naming both Global Upholstery Co. and OTG mapped here — OTG is the standalone storefront brand in those pairings; Global Upholstery Co. folds into GFG parent.
OTG / Offices to Go,OTG / Offices to Go,Global Furniture Group,True,True,2,Consumer-recognizable budget-tier brand in Canadian commercial furniture. 14 combo strings naming both Global Upholstery Co. and OTG mapped here — OTG is the standalone storefront brand in those pairings; Global Upholstery Co. folds into GFG parent.
OTG / Offices To Go (Global Furniture Group),OTG / Offices to Go,Global Furniture Group,True,True,1,Consumer-recognizable budget-tier brand in Canadian commercial furniture. 14 combo strings naming both Global Upholstery Co. and OTG mapped here — OTG is the standalone storefront brand in those pairings; Global Upholstery Co. folds into GFG parent.
OTG / Offices to Go (Global Furniture Group),OTG / Offices to Go,Global Furniture Group,True,True,1,Consumer-recognizable budget-tier brand in Canadian commercial furniture. 14 combo strings naming both Global Upholstery Co. and OTG mapped here — OTG is the standalone storefront brand in those pairings; Global Upholstery Co. folds into GFG parent.
OTG / Offices to Go (likely),OTG / Offices to Go,Global Furniture Group,True,True,1,Consumer-recognizable budget-tier brand in Canadian commercial furniture. 14 combo strings naming both Global Upholstery Co. and OTG mapped here — OTG is the standalone storefront brand in those pairings; Global Upholstery Co. folds into GFG parent.
ObusForme,ObusForme,Global Furniture Group,True,True,5,ICP-referenced consumer ergonomic brand (named in icp.md). Callable despite low enriched count — 5 products confirmed in Shopify vendor field. PE Pass 3 may add more.
Basics / ObusForme (Global Furniture Group),ObusForme,Global Furniture Group,True,True,1,ICP-referenced consumer ergonomic brand (named in icp.md). Callable despite low enriched count — 5 products confirmed in Shopify vendor field. PE Pass 3 may add more.
Global Furniture Group / ObusForme,ObusForme,Global Furniture Group,True,True,1,ICP-referenced consumer ergonomic brand (named in icp.md). Callable despite low enriched count — 5 products confirmed in Shopify vendor field. PE Pass 3 may add more.
ObusForme / Basics (Global Furniture Group),ObusForme,Global Furniture Group,True,True,1,ICP-referenced consumer ergonomic brand (named in icp.md). Callable despite low enriched count — 5 products confirmed in Shopify vendor field. PE Pass 3 may add more.
ObusForme / Global Furniture Group,ObusForme,Global Furniture Group,True,True,1,ICP-referenced consumer ergonomic brand (named in icp.md). Callable despite low enriched count — 5 products confirmed in Shopify vendor field. PE Pass 3 may add more.
ObusForme / Offices to Go (Global Furniture Group),ObusForme,Global Furniture Group,True,True,1,ICP-referenced consumer ergonomic brand (named in icp.md). Callable despite low enriched count — 5 products confirmed in Shopify vendor field. PE Pass 3 may add more.
Office Star,Office Star,,True,False,3,"Consolidated from 'Office Star Products (Fontana, CA)', 'Office Star (Napa series)', and 'OSP Furniture' — all OSP Industries Inc., California. US brand, 3 enriched products, below threshold."
OSP Furniture,Office Star,,True,False,1,"Consolidated from 'Office Star Products (Fontana, CA)', 'Office Star (Napa series)', and 'OSP Furniture' — all OSP Industries Inc., California. US brand, 3 enriched products, below threshold."
Office Star (Napa series),Office Star,,True,False,1,"Consolidated from 'Office Star Products (Fontana, CA)', 'Office Star (Napa series)', and 'OSP Furniture' — all OSP Industries Inc., California. US brand, 3 enriched products, below threshold."
"Office Star Products (Fontana, CA)",Office Star,,True,False,1,"Consolidated from 'Office Star Products (Fontana, CA)', 'Office Star (Napa series)', and 'OSP Furniture' — all OSP Industries Inc., California. US brand, 3 enriched products, below threshold."
Pineapple Contracts,Pineapple Contracts,,True,False,1,"UK hospitality/contract furniture brand. Attribution may be wrong for this BBI SKU (indestructible-ryno-furniture, type:outdoor). Single product, not callable."
Pineapple Contracts,Pineapple Contracts,,True,False,1,"UK hospitality/contract furniture brand. Attribution may be wrong for this BBI SKU (indestructible-ryno-furniture, type:outdoor). Single product, not callable."
Produits Re-Plast,Produits Re-Plast,,True,False,1,Quebec-based recycled-plastic outdoor furniture manufacturer. Single outdoor-category product. ICP excludes Quebec buyers but BBI ships nationally.
Produits Re-Plast,Produits Re-Plast,,True,False,1,Quebec-based recycled-plastic outdoor furniture manufacturer. Single outdoor-category product. ICP excludes Quebec buyers but BBI ships nationally.
Teknion,Teknion,,True,False,0,11 Teknion products exist in Shopify vendor field but none in the 152-enriched set. PE Pass 3 should populate specs.manufacturer for these. Re-evaluate callable after PE Pass 3 completes.
Uline,Uline,,True,False,1,"Uline is primarily a North American industrial/office supply distributor, not a manufacturer. Attribution for height-adjustable-base-pneumatic may be wrong. Single product, not callable."
Uline,Uline,,True,False,1,"Uline is primarily a North American industrial/office supply distributor, not a manufacturer. Attribution for height-adjustable-base-pneumatic may be wrong. Single product, not callable."
ergoCentric,ergoCentric,,True,False,1,Canadian ergonomic seating manufacturer. 1 enriched product — below threshold. Re-evaluate callable after PE Pass 3 completes; restore callouts in COLLECTION-CLEANUP-1 if product depth justifies.
ergoCentric,ergoCentric,,True,False,1,Canadian ergonomic seating manufacturer. 1 enriched product — below threshold. Re-evaluate callable after PE Pass 3 completes; restore callouts in COLLECTION-CLEANUP-1 if product depth justifies.
